Wrestlers	Reign	Days held	Location	Event
Erin Angel	1	111	Eastleigh , Hampshire	A Night of Champions
Vacated	—	—	—	—
Eden Black	1	302	Horndean , Portsmouth	Summer Brawl 2006
Wesna	1	392	Live Event	A Night of Champions
Sweet Saraya	1	225	Vienna , Austria	Wrestling Weltmeisterschaft
Jetta	1	300	Great Yarmouth , Norfolk	WAW 15th Anniversary
Britani Knight	1	700	Takeley , Essex	HEW Final Fight: The Christmas Spectacular
Queen Maya	1	491	Costessey , Norfolk	Bellatrix 2
Liberty	1	196	Norwich , Norfolk	Bellatrix 5
Sammi Baynz	1	118	Norwich , Norfolk	Bellatrix 7- Bellatrix vs Shimmer
