Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 1, 1991	at New Orleans Saints	L 24-27	Louisiana Superdome	0-1	68,492
2	September 8, 1991	New York Jets	W 20-13	Kingdome	1-1	56,770
3	September 15, 1991	at Denver Broncos	L 10-16	Mile High Stadium	1-2	74,152
4	September 22, 1991	at Kansas City Chiefs	L 13-20	Arrowhead Stadium	1-3	71,789
5	September 29, 1991	Indianapolis Colts	W 31-3	Kingdome	2-3	56,656
6	October 6, 1991	at Cincinnati Bengals	W 13-7	Riverfront Stadium	3-3	60,010
7	October 13, 1991	Los Angeles Raiders	L 20-23 OT	Kingdome	3-4	61,974
8	October 20, 1991	at Pittsburgh Steelers	W 27-7	Three Rivers Stadium	4-4	54,678
9	October 27, 1991	San Diego Chargers	W 20-9	Kingdome	5-4	58,025
10	Bye	Bye	Bye	Bye	Bye	Bye
11	November 10, 1991	at San Diego Chargers	L 14-17	Jack Murphy Stadium	5-5	43,597
12	November 17, 1991	at Los Angeles Raiders	L 7-31	Los Angeles Memorial Coliseum	5-6	49,317
13	November 24, 1991	Denver Broncos	W 13-10	Kingdome	6-6	60,430
14	December 1, 1991	Kansas City Chiefs	L 6-19	Kingdome	6-7	57,248
15	December 8, 1991	San Francisco 49ers	L 22-24	Kingdome	6-8	56,711
16	December 15, 1991	at Atlanta Falcons	L 13-26	Atlanta-Fulton County Stadium	6-9	53,834
17	December 22, 1991	Los Angeles Rams	W 23-9	Kingdome	7-9	51,100
