Outcome	Date	Surface	Opponent	Score
Winner	25 September 2000	Clay	Diego Nargiso	7–6 (16–14) , 6–1
Runner-up	11 February 2002	Hard (i)	Lars Burgsmüller	3–6, 3–6
Runner-up	3 March 2003	Hard (i)	Karol Kučera	6–7 (4–7) , 4–6
Runner-up	15 January 2005	Hard	Fernando González	4–6, 2–6
Winner	1 May 2006	Clay	Kristof Vliegen	6–4, 6–2
Runner-up	24 September 2007	Hard	Richard Gasquet	3–6, 4–6
Runner-up	25 October 2009	Hard (i)	Marcos Baghdatis	1–6, 5–7
Runner-up	11 July 2010	Grass	Mardy Fish	7–5, 3–6, 4–6
Runner-up	10 July 2011	Grass	John Isner	3–6, 6–7 (6–8)
Runner-up	14 January 2012	Hard	David Ferrer	3–6, 4–6
