County	Irish name	County town	Most populous city/town	Province	Region
The 32 "traditional" counties	The 32 "traditional" counties	The 32 "traditional" counties	The 32 "traditional" counties	The 32 "traditional" counties	The 32 "traditional" counties
Antrim	Aontroim (Contae Aontroma)	Ballymena (formerly Carrickfergus 1850–1970)	Belfast	Ulster	Northern Ireland – UKN0
Armagh	Ard Mhacha (Contae Ard Mhacha)	Armagh	Craigavon	Ulster	Northern Ireland – UKN0
Carlow	Ceatharlach (Contae Cheatharlach)	Carlow	Carlow	Leinster	South-East – IE024
Cavan	An Cabhán (Contae an Chabháin)	Cavan	Cavan	Ulster	Border – IE011
Clare	An Clár (Contae an Chláir)	Ennis	Ennis	Munster	Mid-West – IE023
Cork	Corcaigh (Contae Chorcaí)	Cork	Cork	Munster	South-West – IE025
Donegal	Dún na nGall (Contae Dhún na nGall)	Lifford	Letterkenny	Ulster	Border – IE011
Down	An Dún (Contae an Dúin)	Downpatrick	Belfast	Ulster	Northern Ireland – UKN0
Dublin	Áth Cliath (Contae Átha Cliath)	Dublin	Dublin	Leinster	Dublin – IE021|
Fermanagh	Fear Manach (Contae Fhear Manach)	Enniskillen	Enniskillen	Ulster	Northern Ireland – UKN0
Galway	Gaillimh (Contae na Gaillimhe)	Galway	Galway	Connacht	West – IE013
Kerry	Ciarraí (Contae Chiarraí)	Tralee	Tralee	Munster | West – IE013	South-West – IE025
Kildare	Cill Dara (Contae Chill Dara)	Naas	Newbridge	Leinster	Mid-East – IE022
Kilkenny	Cill Chainnigh (Contae Chill Chainnigh)	Kilkenny	Kilkenny	Leinster	South-East – IE024
Laois	Laois (Contae Laoise)	Portlaoise	Portlaoise	Leinster	Midlands – IE012
Leitrim	Liatroim (Contae Liatroma)	Carrick-on-Shannon	Carrick-on-Shannon	Connacht	Border – IE011
Limerick	Luimneach (Contae Luimnigh)	Limerick	Limerick	Munster	Mid-West – IE023
Londonderry	Doire (Contae Dhoire)	Coleraine	Derry	Ulster	Northern Ireland – UKN0
Longford	An Longfort (Contae an Longfoirt)	Longford	Longford	Leinster	Midlands – IE012
Louth	Lú (Contae Lú)	Dundalk	Drogheda	Leinster	Border – IE011
Mayo	Maigh Eo (Contae Mhaigh Eo)	Castlebar	Castlebar	Connacht	West – IE013
Meath	An Mhí (Contae na Mí)	Navan (previously Trim )	Navan	Leinster	Mid-East – IE022
Monaghan	Muineachán (Contae Mhuineacháin)	Monaghan	Monaghan	Ulster	Border – IE011
Offaly	Uíbh Fhailí (Contae Uíbh Fhailí)	Tullamore (formerly Philipstown	Tullamore	Leinster	Midlands – IE012
Roscommon	Ros Comáin (Contae Ros Comáin)	Roscommon	Roscommon	Connacht	West – IE013
Sligo	Sligeach (Contae Shligigh)	Sligo	Sligo	Connacht	Border – IE011
Tipperary	Tiobraid Árann (Contae Thiobraid Árann)	Clonmel & (formerly) Cashel	Clonmel	Munster	n/a (see footnote)
Tyrone	Tír Eoghain (Contae Thír Eoghain)	Omagh	Omagh	Ulster	Northern Ireland – UKN0
Waterford	Port Láirge (Contae Phort Láirge)	Dungarvan (previously Waterford )	Waterford	Munster	South-East – IE024
Westmeath	An Iarmhí (Contae na hIarmhí)	Mullingar	Athlone	Leinster	South-East – IE024
Wexford	Loch Garman (Contae Loch Garman)	Wexford	Wexford	Leinster	South-East – IE024
Wicklow	Cill Mhantáin (Contae Chill Mhantáin)	Wicklow	Bray	Leinster	Mid-East – IE022
Newer "administrative" counties	Newer "administrative" counties	Newer "administrative" counties	Newer "administrative" counties	Newer "administrative" counties	Newer "administrative" counties
Dún Laoghaire–Rathdown	Dún Laoghaire–Ráth an Dúin	Dún Laoghaire	Dún Laoghaire	Leinster	Dublin
Fingal	Fine Gall	Swords	Swords	Leinster	Dublin
North Tipperary	Tiobraid Árann Thuaidh	Nenagh	Nenagh	Munster	Mid-West – IE023
South Dublin	Áth Cliath Theas	Tallaght	Tallaght	Leinster	Dublin
South Tipperary	Tiobraid Árann Theas	Clonmel	Clonmel	Munster	South-East – IE024
