Week	Date	Opponent	Result	Attendance
1	September 8, 1968	at Buffalo Bills	W 16-7	38,865
2	Bye	Bye	Bye	Bye
3	September 22, 1968	New York Jets	L 47–31	22,002
4	September 29, 1968	at Denver Broncos	W 20–17	37,024
5	October 6, 1968	at Oakland Raiders	L 41–10	44,253
6	October 13, 1968	Houston Oilers	L 16–0	32,502
7	October 20, 1968	Buffalo Bills	W 23-6	21,082
8	October 27, 1968	at New York Jets	L 48-14	62,351
9	November 3, 1968	Denver Broncos	L 35–14	18,304
10	November 10, 1968	San Diego Chargers	L 27–17	19,278
11	November 17, 1968	at Kansas City Chiefs	L 31–17	48,271
12	November 24, 1968	Miami Dolphins	L 34-10	18,305
13	December 1, 1968	Cincinnati Bengals	W 33–14	17,796
14	December 8, 1968	at Miami Dolphins	L 38–7	24,242
15	December 15, 1968	at Houston Oilers	L 45–17	34,198
