Year	Entrant	Chassis	Engine	Pts.
1952	G. Caprara	Ferrari 500	Ferrari I4	0
1953	Connaught Engineering	Connaught Type A	Lea-Francis I4	0
1954	Gilby Engineering Ltd.	Maserati 250F	Maserati I6	0
1955	Gilby Engineering Ltd.	Maserati 250F	Maserati I6	0
1956	Gilby Engineering Ltd.	Maserati 250F	Maserati I6	0
1957	Owen Racing Organisation	BRM P25	BRM I4	2
1957	Vandervell Products Ltd.	Vanwall	Vanwall I4	2
1957	Cooper Car Company	Cooper T43	Climax I4	2
1958	Cooper Car Company	Cooper T45	Climax I4	15
1959	High Efficiency Motors	Cooper T45	Climax I4	0
1959	David Brown Corporation	Aston Martin DBR4/250	Aston Martin I6	0
1960	High Efficiency Motors	Cooper T51	Climax I4	0
1960	David Brown Corporation	Aston Martin DBR4/250	Aston Martin I6	0
1960	David Brown Corporation	Aston Martin DBR5/250	Aston Martin I6	0
1961	Yeoman Credit Racing Team	Cooper T53	Climax I4	2
1962	Bowmaker-Yeoman Racing Team	Lola Mk4	Climax V8	0
