Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Stalybridge Celtic	38	8	5	74	39	+35	58
2	Accrington Stanley	38	15	4	63	32	+31	53
3	Clitheroe	38	12	6	76	47	+29	52
4	Kirkby Town	38	4	12	71	48	+23	48
5	Bootle	38	10	9	52	38	+14	48
6	St Helens Town	38	9	10	65	37	+28	47
7	Winsford United	38	8	11	55	39	+16	46
8	Fleetwood Town	38	13	9	61	49	+12	45
9	Penrith	38	10	12	62	59	+3	42
10	Rossendale United	38	11	13	66	59	+7	39
11	Congleton Town	38	11	14	38	39	−1	37
12	Burscough	38	11	16	58	54	+4	33
13	Leyland Motors	38	7	18	52	56	−4	33
14	Eastwood Hanley	38	11	17	40	50	−10	31
15	Radcliffe Borough	38	8	19	46	57	−11	30
16	Leek Town	38	12	17	42	55	−13	30
17	Netherfield	38	5	21	45	73	−28	29
18	Irlam Town	38	13	21	36	74	−38	21
19	Curzon Ashton	38	12	22	35	78	−43	20
20	Glossop	38	8	25	33	87	−54	18
