Year	Winner	Runner-up	Score	Venue
8 June 1947	Olympiacos	Iraklis	5–0	Apostolos Nikolaidis Stadium
20 June 1948	Panathinaikos	AEK Athens	2–1	Apostolos Nikolaidis Stadium
3 July 1949 (replay 1 )	AEK Athens	Panathinaikos	2–1	Apostolos Nikolaidis Stadium
28 May 1950	AEK Athens	Aris	4–0	Apostolos Nikolaidis Stadium
11 March 1951	Olympiacos	PAOK	4–0	Apostolos Nikolaidis Stadium
15 June 1952	Olympiacos	Panionios	2–2	Apostolos Nikolaidis Stadium
15 June 1952	Olympiacos	Panionios	2–0	Apostolos Nikolaidis Stadium
17 May 1953	Olympiacos	AEK Athens	3–2	Apostolos Nikolaidis Stadium
23 May 1954	Olympiacos	Doxa Drama 2	2–0	Apostolos Nikolaidis Stadium
12 June 1955	Panathinaikos	PAOK	2–0	Apostolos Nikolaidis Stadium
24 June 1956	AEK Athens	Olympiacos	2–1	Apostolos Nikolaidis Stadium
30 July 1957	Olympiacos	Iraklis	2–0	Georgios Karaiskakis Stadium
30 July 1958	Olympiacos	Doxa Drama	5–1	Georgios Karaiskakis Stadium
5 July 1959	Olympiacos	Doxa Drama	2–1	Apostolos Nikolaidis Stadium
7 August 1960	Panathinaikos	Olympiacos	1–1	Apostolos Nikolaidis Stadium
11 September 1960	Olympiacos	Panathinaikos	3–0	Georgios Karaiskakis Stadium
2 July 1961	Olympiacos	Panionios	3–0	Apostolos Nikolaidis Stadium
27 June 1962	Panathinaikos	Olympiacos	0–0 4	Nikos Goumas Stadium
18 July 1963	Olympiacos	Pierikos	3–0	Apostolos Nikolaidis Stadium
1964	AEK Athens 5	AEK Athens 5	AEK Athens 5	AEK Athens 5
14 July 1965	Olympiacos	Panathinaikos	1–0	Georgios Karaiskakis Stadium
1966	AEK Athens	Olympiacos	2–0	walkover 6
6 July 1967	Panathinaikos	Panionios	1–0	Nikos Goumas Stadium
21 July 1968	Olympiacos	Panathinaikos	1–0	Apostolos Nikolaidis Stadium
9 July 1969	Panathinaikos 7	Olympiacos	1–1	Georgios Karaiskakis Stadium
28 June 1970 8	Aris	PAOK	1–0	Lysandros Kaftanzoglou Stadium
9 June 1971	Olympiacos	PAOK	3–1	Georgios Karaiskakis Stadium
5 July 1972	PAOK	Panathinaikos	2–1	Georgios Karaiskakis Stadium
17 June 1973	Olympiacos	PAOK	1–0	Georgios Karaiskakis Stadium
16 June 1974	PAOK	Olympiacos	2–2 4–3 PSO 9	Nikos Goumas Stadium
18 June 1975	Olympiacos	Panathinaikos	1–0	Georgios Karaiskakis Stadium
9 June 1976	Iraklis	Olympiacos	2–2 4–4 a.e.t. 6–5 PSO	Nikos Goumas Stadium
22 June 1977	Panathinaikos	PAOK	2–1	Georgios Karaiskakis Stadium
4 June 1978	AEK Athens	PAOK	2–0	Georgios Karaiskakis Stadium
9 June 1979	Panionios	AEK Athens	3–1	Georgios Karaiskakis Stadium
26 May 1980	Kastoria 10	Iraklis	5–2	Nikos Goumas Stadium
21 June 1981	Olympiacos	PAOK	3–1	Nikos Goumas Stadium
19 June 1982	Panathinaikos	Larissa	1–0	Nikos Goumas Stadium
29 June 1983	AEK Athens	PAOK	2–0	Athens Olympic Stadium
6 June 1984	Panathinaikos	Larissa	2–0	Athens Olympic Stadium
22 June 1985	Larissa	PAOK	4–1	Athens Olympic Stadium
28 May 1986	Panathinaikos	Olympiacos	4–0	Athens Olympic Stadium
21 June 1987	OFI Crete	Iraklis	1–1 3–1 PSO	Athens Olympic Stadium
8 May 1988	Panathinaikos	Olympiacos	2–2 4–3 PSO	Athens Olympic Stadium
11 May 1989	Panathinaikos	Panionios	3–1	Athens Olympic Stadium
17 May 1990	Olympiacos	OFI Crete	4–2	Athens Olympic Stadium
1st leg 15 May 1991	Athinaikos	Panathinaikos	0–3	Apostolos Nikolaidis Stadium
2nd leg 22 May 1991	Panathinaikos	Athinaikos	2–1 ( agg. 5–1)	Athens Olympic Stadium
1st leg 20 May 1992	PAOK	Olympiacos	1–1	Toumba Stadium
2nd leg 27 May 1992	Olympiacos	PAOK	2–0 ( agg. 3–1)	Georgios Karaiskakis Stadium
12 May 1993	Panathinaikos	Olympiacos	1–0	Athens Olympic Stadium
20 April 1994	Panathinaikos	AEK Athens	2–2 3–3 a.e.t. 4–2 PSO	Athens Olympic Stadium
19 April 1995	Panathinaikos	AEK Athens	0–0 1–0 a.e.t.	Athens Olympic Stadium
15 May 1996	AEK Athens	Apollon Athens	7–1 11	Athens Olympic Stadium
16 April 1997	AEK Athens	Panathinaikos	0–0 5–3 PSO	Georgios Karaiskakis Stadium
29 April 1998	Panionios	Panathinaikos	1–0	Georgios Karaiskakis Stadium
5 May 1999	Olympiacos	Panathinaikos	2–0	Athens Olympic Stadium
10 May 2000	AEK Athens	Ionikos	3–0	Athens Olympic Stadium
12 May 2001	PAOK	Olympiacos	4–2	Nikos Goumas Stadium
25 May 2002	AEK Athens	Olympiacos	2–1	Athens Olympic Stadium
17 May 2003	PAOK	Aris	1–0	Toumba Stadium
15 May 2004	Panathinaikos	Olympiacos	3–1	Nea Smyrni Stadium
21 May 2005	Olympiacos	Aris	3–0	Pampeloponnisiako Stadium 12
10 May 2006	Olympiacos	AEK Athens	3–0	Pankritio Stadium
5 May 2007	Larissa	Panathinaikos	2–1	Panthessaliko Stadium
17 May 2008	Olympiacos	Aris	2–0	Lysandros Kaftanzoglou Stadium
2 May 2009	Olympiakos	AEK Athens	3–3 4–4 a.e.t. 15–14 PSO	Athens Olympic Stadium
24 April 2010	Panathinaikos	Aris	1–0	Athens Olympic Stadium
30 April 2011	AEK Athens	Atromitos	3–0	Athens Olympic Stadium
28 April 2012	Olympiakos	Atromitos	1–1 2–1 a.e.t.	Athens Olympic Stadium
11 May 2013	Olympiakos	Asteras Tripolis	1–1 3–1 a.e.t.	Athens Olympic Stadium
