Driver	Car #	Make	Points	Laps	Winnings
Kevin Harvick	29	Chevrolet	185	312	$228,486
Tony Stewart	20	Chevrolet	175	312	$211,536
Matt Kenseth	17	Ford	170	312	$168,116
Carl Edwards	99	Ford	160	312	$126,685
Clint Bowyer *	7	Chevrolet	160	312	$122,325
Kasey Kahne	9	Dodge	150	312	$124,189
Jimmie Johnson	48	Chevrolet	146	312	$127,111
Bobby Labonte	43	Dodge	142	312	$117,661
Jeff Burton	31	Chevrolet	138	312	$108,870
Jeff Gordon	24	Chevrolet	134	312	$124,111
Mark Martin	6	Ford	135	311	$98,425
Sterling Marlin	14	Chevrolet	127	311	$90,883
Brian Vickers	25	Chevrolet	124	311	$80,275
Jamie McMurray	26	Ford	121	311	$112,750
Greg Biffle	16	Ford	128	311	$102,350
Ken Schrader	21	Ford	115	311	$95,389
Tony Raines	96	Chevrolet	112	311	$65,075
Jeff Green	66	Chevrolet	109	311	$91,808
Dale Jarrett	88	Ford	106	311	$99,325
Casey Mears	42	Dodge	103	311	$103,983
Travis Kvapil	32	Chevrolet	100	311	$80,958
Martin Truex Jr. *	1	Chevrolet	97	311	$86,233
Dale Earnhardt Jr.	8	Chevrolet	94	310	$102,291
Kurt Busch	2	Dodge	91	310	$103,833
Kenny Wallace	178	Chevrolet	88	310	$63,075
Jeremy Mayfield	19	Dodge	85	310	$95,841
Dave Blaney	22	Dodge	87	309	$75,172
J.J. Yeley *	18	Chevrolet	84	309	$99,975
David Stremme *	40	Dodge	76	308	$73,175
Scott Wimmer	4	Chevrolet	73	307	$65,525
Kyle Petty	45	Dodge	70	305	$72,400
Brent Sherman *	49	Dodge	67	305	$61,750
Stanton Barrett	95	Chevrolet	64	301	$62,575
Denny Hamlin *	11	Chevrolet	61	289	$61,500
Joe Nemechek	1	Chevrolet	58	283	$87,720
Kyle Busch	5	Chevrolet	60	259	$84,425
Elliott Sadler	38	Ford	57	247	$89,008
Scott Riggs	10	Dodge	49	229	$60,975
Ryan Newman	12	Dodge	46	221	$106,258
Reed Sorenson *	41	Dodge	43	206	$68,700
Robby Gordon	7	Chevrolet	40	116	$60,560
Michael Waltrip	55	Dodge	37	98	$60,435
Brandon Ash	102	Dodge	39	98	$60,635
