#	Title	Author	Doctor	Featuring	Read by	Published	ISBN
1	Pest Control	Peter Anghelides	10th	Donna Noble	David Tennant	8 May 2008	ISBN 978-1-4056-7819-3
2	The Forever Trap	Dan Abnett	10th	Donna Noble	Catherine Tate	9 October 2008	ISBN 978-1-4084-0678-6
3	The Nemonite Invasion	David Roden	10th	Donna Noble	Catherine Tate	12 February 2009	ISBN 978-1-4084-0679-3
4	The Rising Night	Scott Handcock	10th	None	Michelle Ryan	2 July 2009	ISBN 978-1-4084-0938-1
5	The Day of the Troll	Simon Messingham	10th	None	David Tennant	8 October 2009	ISBN 978-1-4084-0939-8
6	The Last Voyage	Dan Abnett	10th	None	David Tennant	7 January 2010	ISBN 978-1-4084-0940-4
7	Dead Air	James Goss	10th	None	David Tennant	4 March 2010	ISBN 978-1-4084-2680-7
8	The Ring Of Steel	Stephen Cole	11th	Amy Pond	Arthur Darvill	5 August 2010	ISBN 978-1-4084-2761-3
9	The Runaway Train	Oli Smith	11th	Amy Pond	Matt Smith	7 October 2010	ISBN 978-1-4084-2747-7
10	The Jade Pyramid	Martin Day	11th	Amy Pond	Matt Smith	6 January 2011	ISBN 978-1-4084-2749-1
11	The Gemini Contagion	Jason Arnopp	11th	Amy Pond	Meera Syal	3 March 2011	ISBN 978-1-4084-6816-6
12	The Hounds of Artemis	James Goss	11th	Amy Pond	Matt Smith and Clare Corbett	4 April 2011	ISBN 978-1-4084-2746-0
13	The Eye of the Jungle	Darren Jones	11th	Amy Pond & Rory Williams	David Troughton	7 July 2011	ISBN 978-1-4084-6815-9
14	Blackout	Oli Smith	11th	Amy Pond & Rory Williams	Stuart Milligan	8 September 2011	ISBN 978-1-4084-6878-4
15	The Art of Death	James Goss	11th	Amy Pond & Rory Williams	Raquel Cassidy	5 January 2012	ISBN 978-1-4084-6881-4
16	Darkstar Academy	Mark Morris	11th	Amy Pond & Rory Williams	Alexander Armstrong	8 March 2012	ISBN 978-1-4084-6879-1
17	Day of the Cockroach	Steve Lyons	11th	Amy Pond & Rory Williams	Arthur Darvill	3 May 2012	ISBN 978-1-4084-6880-7
18	The Nu-Humans	Cavan Scott and Mark Wright	11th	Amy Pond & Rory Williams	Raquel Cassidy	5 July 2012	ISBN 978-1-4458-6762-5
19	The Empty House	Simon Guerrier	11th	Amy Pond & Rory Williams	Raquel Cassidy	6 September 2012	ISBN 978-1-4084-6882-1
20	The Sleepers in the Dust	Darren Jones	11th	Amy Pond & Rory Williams	Arthur Darvill	1 November 2012	ISBN 978-1-4458-9173-6
