Date	Course	Distance	Type	Winner
21 May	San Remo	km (mi)	Individual time trial	Roberto Visentini ( ITA )
22 May	San Remo to San Romolo	km (mi)	Stage with mountain(s)	Erik Breukink ( NED )
22 May	Poggio di San Remo to San Remo	km (mi)	Individual time trial	Stephen Roche ( IRL )
23 May	Imperia to Borgo Val di Taro	km (mi)	Stage with mountain(s)	Moreno Argentin ( ITA )
24 May	Lerici to Camaiore	km (mi)	Team time trial	Carrera Jeans-Vagabond
25 May	Camaiore to Montalcino	km (mi)	Stage with mountain(s)	Moreno Argentin ( ITA )
26 May	Montalcino to Terni	km (mi)	Plain stage	Eddy Planckaert ( BEL )
27 May	Terni to Monte Terminillo	km (mi)	Stage with mountain(s)	Jean-Claude Bagot ( FRA )
28 May	Rieti to Roccaraso	km (mi)	Stage with mountain(s)	Moreno Argentin ( ITA )
29 May	Roccaraso to San Giorgio del Sannio	km (mi)	Plain stage	Paolo Rosola ( ITA )
30 May	San Giorgio del Sannio to Bari	km (mi)	Plain stage	Urs Freuler ( SUI )
31 May	Bari to Termoli	km (mi)	Plain stage	Paolo Rosola ( ITA )
1 June	Rest day	Rest day	Rest day	Rest day
2 June	Giulianova to Osimo	km (mi)	Stage with mountain(s)	Robert Forest ( FRA )
3 June	Osimo to Bellaria	km (mi)	Plain stage	Guido Bontempi ( ITA )
4 June	Rimini to San Marino ( San Marino )	km (mi)	Individual time trial	Roberto Visentini ( ITA )
5 June	San Marino (San Marino) to Lido di Jesolo	km (mi)	Plain stage	Paolo Cimini ( ITA )
6 June	Lido di Jesolo to Sappada	km (mi)	Stage with mountain(s)	Johan van der Velde ( NED )
7 June	Sappada to Canazei	km (mi)	Stage with mountain(s)	Johan van der Velde ( NED )
8 June	Canazei to Riva del Garda	km (mi)	Stage with mountain(s)	Marco Vitali ( ITA )
9 June	Riva del Garda to Trescore Balneario	km (mi)	Plain stage	Giuseppe Calcaterra ( ITA )
10 June	Trescore Balneario to Madesimo	km (mi)	Stage with mountain(s)	Jean-François Bernard ( FRA )
11 June	Madesimo to Como	km (mi)	Plain stage	Paolo Rosola ( ITA )
12 June	Como to Pila	km (mi)	Stage with mountain(s)	Robert Millar ( GBR )
13 June	Aosta to Saint-Vincent	km (mi)	Individual time trial	Stephen Roche ( IRL )
Total	Total	km (mi)	km (mi)	km (mi)
