Place	Player	Country	Score	To par	Money ( $ )
1	Tiger Woods	United States	69-68-65-68=270	–18	1,224,000
2	Shaun Micheel	United States	69-70-67-69=275	–13	734,400
T3	Luke Donald	England	68-68-66-74=276	–12	353,600
T3	Sergio García	Spain	69-70-67-70=276	–12	353,600
T3	Adam Scott	Australia	71-69-69-67=276	–12	353,600
6	Mike Weir	Canada	72-67-65-73=277	–11	244,800
T7	K.J. Choi	South Korea	73-67-67-71=278	–10	207,788
T7	Steve Stricker	United States	72-67-70-69=278	–10	207,788
T9	Ryan Moore	United States	71-72-67-69=279	–9	165,000
T9	Geoff Ogilvy	Australia	69-68-68-74=279	–9	165,000
T9	Ian Poulter	England	70-70-68-71=279	–9	165,000
