RANK	NAME	TEAM	COUNTRY	POINTS
1	Roberto Baggio	Juventus FC	Italy	152
2	"Romario"	PSV - FC Barcelona	Brazil	84
3	Dennis Bergkamp	Ajax - FC Internazionale	Netherlands	58
4	Peter SCHMEICHEL	Manchester United FC	Denmark	29
5	Hristo STOITCHKOV	FC Barcelona	Bulgaria	22
6	Faustino Asprilla	Parma AC	Colombia	21
7	" Bebeto "	RC Deportivo La Coruna	Brazil	16
8	Ronald KOEMAN	FC Barcelona	Netherlands	15
9	Anthony YEBOAH	Eintracht Frankfurt	Ghana	13
10	RAÍ Souza Vieira de Oliveira	Paris Saint-Germain F.C.	Brazil	12
