Driver	Car #	Make	Points	Laps	Winnings
Kasey Kahne	9	Dodge	185	334	$530,164
Matt Kenseth	17	Ford	175	334	$362,491
Tony Stewart	20	Chevrolet	175	334	$286,386
Denny Hamlin *	11	Chevrolet	165	334	$208,500
Kevin Harvick	29	Chevrolet	160	334	$204,511
Jeff Burton	31	Chevrolet	150	334	$172,220
Scott Riggs	10	Dodge	146	334	$133,850
Martin Truex Jr. *	1	Chevrolet	147	334	$156,608
Mark Martin	6	Ford	143	334	$151,850
Bobby Labonte	43	Dodge	134	334	$164,211
Jimmie Johnson	48	Chevrolet	130	334	$165,161
Dale Earnhardt Jr.	8	Chevrolet	127	334	$154,816
Reed Sorenson *	41	Dodge	124	334	$126,675
Casey Mears	42	Dodge	121	334	$150,233
Kyle Busch	5	Chevrolet	118	334	$129,725
Ken Schrader	21	Ford	115	334	$140,089
Dale Jarrett	88	Ford	112	334	$143,350
Jeff Green	66	Chevrolet	114	334	$133,833
Clint Bowyer *	7	Chevrolet	106	333	$116,075
Robby Gordon	7	Chevrolet	103	333	$109,275
David Stremme *	40	Dodge	100	333	$127,033
Jeff Gordon	24	Chevrolet	97	332	$148,411
Joe Nemechek	1	Chevrolet	94	332	$129,070
Tony Raines	96	Chevrolet	91	332	$97,075
Terry Labonte	44	Chevrolet	88	332	$95,975
Michael Waltrip	55	Dodge	85	331	$108,833
Travis Kvapil	32	Chevrolet	82	331	$105,122
Scott Wimmer	4	Chevrolet	79	330	$94,075
Dave Blaney	22	Dodge	76	330	$92,475
Sterling Marlin	14	Chevrolet	73	329	$89,325
Jeremy Mayfield	19	Dodge	70	328	$116,891
Kevin Lepage	61	Ford	67	328	$85,800
Elliott Sadler	38	Ford	69	286	$113,558
Kurt Busch	2	Dodge	61	286	$124,633
J.J. Yeley *	18	Chevrolet	63	270	$118,075
Carl Edwards	99	Ford	60	256	$101,175
Jamie McMurray	26	Ford	52	254	$127,100
Mike Garvey	151	Chevrolet	49	251	$79,125
Kyle Petty	45	Dodge	46	248	$87,000
Ryan Newman	12	Dodge	43	200	$124,283
Derrike Cope	74	Dodge	PE	169	$78,760
Greg Biffle	16	Ford	42	81	$98,860
Brian Vickers	25	Chevrolet	34	24	$86,847
