Country	Total Freshwater Withdrawal (km 3 /yr)	Per Capita Withdrawal (m 3 /p/yr)	Domestic Use (m 3 /p/yr)(in %)	Industrial Use (m 3 /p/yr)(in %)	Agricultural Use (m 3 /p/yr)(in %)
India	645.84	585	47(8%)	30(5%)	508(86%)
China	549.76	415	29(7%)	107(26%)	279(68%)
United States	477	1600	208(13%)	736(46%)	656(41%)
Pakistan	169.39	1072	21(2%)	21(2%)	1029(96%)
Japan	88.43	690	138(20%)	124(18%)	428(62%)
Indonesia	82.78	372	30(8%)	4(1%)	339(91%)
Thailand	82.75	1288	26(2%)	26(2%)	1236(95%)
Bangladesh	79.4	560	17(3%)	6(1%)	536(96%)
Mexico	78.22	731	126(17%)	37(5%)	569(77%)
Russia	76.68	535	102(19%)	337(63%)	96(18%)
Iran	72.88	1048	73(7%)	21(2%)	954(91%)
Vietnam	71.39	847	68(8%)	203(24%)	576(68%)
Egypt	68.3	923	74(8%)	55(6%)	794(86%)
Brazil	59.3	318	64(20%)	57(18%)	197(62%)
Uzbekistan	58.34	2194	110(5%)	44(2%)	2040(93%)
Canada	44.72	1386	274(20%)	947(69%)	165(12%)
Iraq	42.7	1482	44(3%)	74(5%)	1363(92%)
Italy	41.98	723	130(18%)	268(37%)	325(45%)
Turkey	39.78	544	82(15%)	60(11%)	403(74%)
