Player	Nationality	Position	From	School/Country
Corky Calhoun Category:Articles with hCards	United States	Forward	1974	Pennsylvania
Demetrius Calip Category:Articles with hCards	United States	Guard	1991	Michigan
Mack Calvin Category:Articles with hCards	United States	Guard	1976	USC
Elden Campbell Category:Articles with hCards	United States	Forward/Center	1990	Clemson
Tony Campbell Category:Articles with hCards	United States	Guard/Forward	1987	Ohio State
Derrick Caracter Category:Articles with hCards	United States	Forward	2010	UTEP
Don Carlson Category:Articles with hCards	United States	Guard/Forward	1948	Minnesota
Bob Carney Category:Articles with hCards	United States	Guard	1954	Bradley
Kenny Carr Category:Articles with hCards	United States	Forward	1977	North Carolina State
Butch Carter Category:Articles with hCards	United States	Guard	1980	Indiana
Maurice Carter Category:Articles with hCards	United States	Guard	2003	LSU
Ron Carter Category:Articles with hCards	United States	Guard	1978	VMI
Jay Carty Category:Articles with hCards	United States	Forward	1968	Oregon State
Cedric Ceballos Category:Articles with hCards	United States	Forward	1994	Cal State Fullerton
John Celestand Category:Articles with hCards	United States	Guard	1999	Villanova
Wilt Chamberlain Category:Articles with hCards *^	United States	Center	1968	Kansas
Jerry Chambers Category:Articles with hCards	United States	Forward	1966	Utah
Don Chaney Category:Articles with hCards	United States	Guard	1976	Houston
Jim Chones Category:Articles with hCards	United States	Forward/Center	1979	Marquette
Doug Christie Category:Articles with hCards	United States	Guard	1993	Pepperdine
Archie Clark Category:Articles with hCards	United States	Guard	1966	Minnesota
Earl Clark Category:Articles with hCards	United States	Forward	2012	Louisville
Jim Cleamons Category:Articles with hCards	United States	Guard	1971	Ohio State
Lester Conner Category:Articles with hCards	United States	Guard	1994	Oregon State
Brian Cook Category:Articles with hCards	United States	Forward	2003	Illinois
Duane Cooper Category:Articles with hCards	United States	Guard	1992	USC
Joe Cooper Category:Articles with hCards	United States	Forward/Center	1982	Colorado
Michael Cooper Category:Articles with hCards	United States	Guard/Forward	1978	New Mexico
Mel Counts Category:Articles with hCards	United States	Forward/Center	1968	Oregon State
Freddie Crawford Category:Articles with hCards	United States	Guard/Forward	1968	St. Bonaventure
Joe Crispin Category:Articles with hCards	United States	Guard	2001	Penn State
Javaris Crittenton Category:Articles with hCards	United States	Guard	2007	Georgia Tech
