Date	Opponent	Venue	Result	Attendance
16 August 1980	Leeds United	Elland Road	2–1	23,401
20 August 1980	Norwich City	Villa Park	1–0	25,970
23 August 1980	Manchester City	Maine Road	2–2	30,017
30 August 1980	Coventry City	Villa Park	1–0	26,050
6 September 1980	Ipswich Town	Portman Road	0–1	23,192
13 September 1980	Everton	Villa Park	0–2	25,673
20 September 1980	Wolverhampton Wanderers	Villa Park	2–1	26,181
27 September 1980	Crystal Palace	Selhurst Park	1–0	18,398
4 October 1980	Sunderland	Villa Park	4–0	26,914
8 October 1980	Manchester United	Old Trafford	3–3	38,831
11 October 1980	Birmingham City	St Andrew's	2–1	33,879
18 October 1980	Tottenham Hotspur	Villa Park	3–0	30,940
22 October 1980	Brighton & Hove Albion	Villa Park	4–1	27,367
25 October 1980	Southampton	The Dell	2–1	21,249
1 November 1980	Leicester City	Villa Park	2–0	29,953
8 November 1980	West Bromwich Albion	The Hawthorns	0–0	34,195
12 November 1980	Norwich City	Carrow Road	3–1	17,050
15 November 1980	Leeds United	Villa Park	1–1	29,106
22 November 1980	Liverpool	Anfield	1–2	48,114
29 November 1980	Arsenal	Villa Park	1–1	30,140
6 December 1980	Middlesbrough	Ayresome Park	1–2	15,597
11 December 1980	Birmingham City	Villa Park	3–0	41,101
20 December 1980	Brighton & Hove Albion	Goldstone Ground	0–1	16,425
26 December 1980	Stoke City	Villa Park	1–0	34,658
27 December 1980	Nottingham Forest	City Ground	2–2	33,930
10 January 1981	Liverpool	Villa Park	2–0	47,960
17 January 1981	Coventry City	Highfield Road	2–1	27,020
31 January 1981	Manchester City	Villa Park	1–0	33,682
7 February 1981	Everton	Goodison Park	3–1	31,434
21 February 1981	Crystal Palace	Villa Park	2–1	27,203
28 February 1981	Wolverhampton Wanderers	Molineux	1–0	34,693
7 March 1981	Sunderland	Roker Park	2–1	27,278
14 March 1981	Manchester United	Villa Park	3–3	42,182
21 March 1981	Tottenham Hotspur	White Hart Lane	0–2	35,091
23 March 1981	Southampton	Villa Park	2–1	32,467
4 April 1981	Leicester City	Filbert Street	4–2	26,032
8 April 1981	West Bromwich Albion	Villa Park	1–0	47,998
14 April 1981	Ipswich Town	Villa Park	1–2	47,495
18 April 1981	Nottingham Forest	Villa Park	2–0	34,707
20 April 1981	Stoke City	Victoria Ground	1–1	23,511
25 April 1981	Middlesbrough	Villa Park	3–0	38,018
2 May 1981	Arsenal	Highbury	0–2	57,472
