Opposing Teams	Against	Date	Venue	Status
Italy	11	07/02/2009	Twickenham , London	Six Nations
Wales	23	14/02/2009	Millennium Stadium , Cardiff	Six Nations
Ireland	14	28/02/2009	Croke Park , Dublin	Six Nations
France	10	15/03/2009	Twickenham , London	Six Nations
Scotland	12	21/03/2009	Twickenham , London	Six Nations
Argentina	15	06/06/2009	Old Trafford , Manchester	First Test
Argentina	24	13/06/2009	Estadio Padre Ernesto Martearena , Salta	Second Test
Australia	18	07/11/2009	Twickenham , London	Test Match
Argentina	9	14/11/2009	Twickenham , London	Test Match
New Zealand	19	21/11/2009	Twickenham , London	Test Match
