Week	Date	Opponent	Result	Attendance
1	September 18, 1972	at Minnesota Vikings	W 24-21	47,900
2	September 24, 1972	St. Louis Cardinals	W 24-10	53,039
3	October 1, 1972	at New England Patriots	L 24-23	60,999
4	October 8, 1972	Philadelphia Eagles	W 14-0	53,039
5	October 15, 1972	at St. Louis Cardinals	W 33-3	50,454
6	October 22, 1972	Dallas Cowboys	W 24-20	53,039
7	October 29, 1972	at New York Giants	W 23-16	62,878
8	November 5, 1972	at New York Jets	W 35-17	63,962
9	November 12, 1972	New York Giants	W 27-13	53,039
10	November 20, 1972	Atlanta Falcons	W 24-13	53,034
11	November 26, 1972	Green Bay Packers	W 21-16	53,039
12	December 3, 1972	at Philadelphia Eagles	W 23-7	65,720
13	December 9, 1972	at Dallas Cowboys	L 34-24	65,136
14	December 17, 1972	Buffalo Bills	L 24-17	53,039
