Week 1	Week 2	Week 3	Week 4	Week 5
Karlee Rose	Jason Hibbert	Shelly Louise	Deanna Murphy	[Month Ended]
Ryan Leigh	Kamila Sulewska	Candace Rae	Bethanie Badertscher **	[Month Ended]
Chelsea Grimland	Jessica Sutherland	Ariana Diabla	Elle Smith	Elizabeth Mendez*
Jamie Bradford*	Jillian Kaye	Tiffany Schlumbrecht	Bree Morgan	[Month Ended]
Megan Medellin	Tali De'Mar	Ava Hart	Brandi Bryant*	Amy Varela
Jesse Lunderby*	Jengie Beverly Zaccheo	Samantha Buxton	Cassandra Dawn	[Month Ended]
Holly Jo	Victoria Nicole	Reby Sky *	Jessica King	[Month Ended]
Amber Kyler	Alexandra Rae	Jelena Timofejeva	Erika Mayshawn	Brittany Barbour*
Jessica Gamboa*	Angela Marie	Titania Lyn	Rachel Lorraine	[Month Ended]
Rhian Alise	Kayleigh Elizabeth*	Casey Lauren	Nadia Marcella	[Month Ended]
Jennifer Vaughn	Kristen Pyles*	Logann Brooke	Chelsie Loraine	Jamie Madison
Amanda Evans	Vanessa Robbins*	Mikaela James	Karin Noelle	[Month Ended]
