Team	Season	Played	Lost	1 st	2 nd	3 rd	4 th	Debut	Since/Last App	Best
Barcelona	30	1273	316	14	9	4	1	1983–84	1983–84	1
Real Madrid	30	1234	340	9	6	6	2	1983–84	1983–84	1
Baskonia	30	1175	433	3	4	4	4	1983–84	1983–84	1
Joventut Badalona	30	1141	460	2	4	5	4	1983–84	1983–84	1
Estudiantes	30	1142	511	–	1	5	7	1983–84	1983–84	2
Baloncesto Málaga	28	1070	452	1	2	3	4	1983–84	1987–88	1
Valencia BC	24	901	408	–	1	–	1	1988–89	1983–84	2
CB Valladolid	29	998	569	–	–	–	–	1983–84	2009–10	6
Bàsquet Manresa	26	936	524	1	–	–	2	1983–84	2007–08	1
CDB Sevilla	24	873	461	–	2	–	–	1989–90	1989–90	2
CB Gran Canaria	22	807	437	–	–	–	1	1985–86	1995–96	4
CB Girona	20	731	401	–	–	–	–	1988–89	2007–08	5
CB Zaragoza	13	473	203	–	–	2	3	1983–84	1995–96	3
CB Breogán	16	604	362	–	–	–	–	1984–85	2005–06	6
Baloncesto Fuenlabrada	15	522	310	–	–	–	–	1996–97	2005–06	7
Baloncesto León	11	398	219	–	–	–	–	1990–91	2007–08	6
CB Peñas Huesca	12	441	268	–	–	–	–	1983–84	1995–96	10
CB Murcia	15	534	364	–	–	–	–	1990–91	2011–12	12
Granollers EB	10	352	186	–	–	–	–	1983–84	1992–93	5
CB Cáceres	11	388	225	–	–	–	–	1992–93	2002–03	5
Bilbao Basket	9	322	165	–	1	–	–	2004–05	2004–05	2
Club Ourense Baloncesto	12	383	240	–	–	–	–	1989–90	2000–01	8
CB OAR Ferrol	10	350	210	–	–	–	–	1983–84	1993–94	7
CB Granada	12	411	271	–	–	–	–	1996–97	2010–11	10
CB Lucentum Alicante	9	316	184	–	–	–	–	2000–01	2011–12	6
CB 1939 Canarias	8	283	172	–	–	–	–	1983–84	2012–13	6
CB Collado Villalba	5	226	133	–	–	–	–	1987–88	1991–92	8
CD Oximesa	6	225	143	–	–	–	–	1986–87	1991–92	11
CB Maristas de Málaga	4	160	84	–	–	–	–	1988–89	1991–92	13
CB Cajabilbao	5	184	108	–	–	–	–	1986–87	1990–91	9
RCD Espanyol	5	165	92	–	–	–	–	1984–85	1988–89	8
Gipuzkoa BC	6	205	133	–	–	–	–	2006–07	2008–09	5
BC Andorra	4	147	81	–	–	–	–	1992–93	1995–96	8
Basket Zaragoza 2002	4	140	77	–	–	1	–	2008–09	2010–11	3
CE Lleida Bàsquet	4	140	83	–	–	–	–	2001–02	2004–05	8
Cantabria Baloncesto	5	170	117	–	–	–	–	1997–98	2001–02	14
Menorca Bàsquet	5	168	117	–	–	–	–	2005–06	2011–12	15
Círculo Católico	3	97	48	–	–	–	1	1983–84	1985–86	4
CD Cajamadrid	3	98	52	–	–	–	–	1983–84	1985–86	5
Obradoiro CAB	3	104	65	–	–	–	–	2009–10	2011–12	8
Gijón Baloncesto	4	144	107	–	–	–	–	1995–96	2001–02	15
CB Salamanca	2	76	40	–	–	–	–	1994–95	1995–96	9
Tenerife AB	2	89	61	–	–	–	–	1988–89	1989–90	22
CB Llíria	2	79	52	–	–	–	–	1991–92	1992–93	16
Tenerife Baloncesto	2	68	43	–	–	–	–	2003–04	2004–05	10
CB L'Hospitalet	1	31	20	–	–	–	–	1983–84	1983–84	15
CB Ciudad de Huelva	1	39	28	–	–	–	–	1997–98	1997–98	17
Askatuak SBT	1	43	33	–	–	–	–	1988–89	1988–89	24
