Driver	Constructor	Laps	Time/Retired	Grid
Jackie Stewart	Tyrrell - Ford	68	1:31:31.5	2
Ronnie Peterson	March - Ford	68	+ 36.1	5
Emerson Fittipaldi	Lotus - Ford	68	+ 50.5	4
Henri Pescarolo	March - Ford	67	+ 1 Lap	17
Rolf Stommelen	Surtees - Ford	67	+ 1 Lap	12
John Surtees	Surtees - Ford	67	+ 1 Lap	18
Jean-Pierre Beltoise	Matra	66	+ 2 Laps	15
Howden Ganley	BRM	66	+ 2 Laps	11
Jo Siffert	BRM	66	+ 2 laps	3
François Cevert	Tyrrell - Ford	65	+ 3 Laps	10
Nanni Galli	March - Ford	65	+ 3 Laps	21
Tim Schenken	Brabham - Ford	63	Gearbox	7
Reine Wisell	Lotus - Pratt & Whitney	57	Not classified	19
Andrea de Adamich	March - Alfa Romeo	56	Not classified	24
Peter Gethin	McLaren - Ford	53	Engine	14
Jacky Ickx	Ferrari	51	Engine	6
Clay Regazzoni	Ferrari	48	Oil Pressure	1
Chris Amon	Matra	35	Engine	9
Denny Hulme	McLaren - Ford	32	Engine	8
Derek Bell	Surtees - Ford	23	Suspension	23
Mike Beuttler	March - Ford	21	Oil Pressure	20
Dave Charlton	Lotus - Ford	1	Engine	13
Graham Hill	Brabham - Ford	0	Accident	22
Jackie Oliver	McLaren - Ford	0	Accident	16
