Round	Pick	Overall	Name	Position	College
1	12	12	Jim Smith	DB	Oregon
2	11	38	Tom Roussel	LB	Southern Mississippi
4	11	94	Dennis Crane	DT	Southern California
5	2	113	Ken Barefoot	TE	Virginia Tech
5	6	117	Mike Bragg	P	Richmond
6	11	149	Willie Banks	G	Alcorn State
7	11	176	Bob Brunet	RB	Louisiana State
8	11	203	Brian Magnuson	RB	Montana
9	11	230	Frank Liberatore	DB	Clemson
11	11	284	Tom Garretson	DB	Northwestern
12	11	311	Dave Weedman	DT	Western Washington
13	11	338	Mike St. Louis	OT	Central Missouri
14	11	365	Dave Zivich	OT	Cal-Santa Barbara [l ]
15	11	392	Coger Coverson	G	Texas Southern
16	11	419	Willie Turner	RB	Jackson State
17	11	446	Frank Bosch	DT	Colorado
