Rank	Title	Studio	Director	Worldwide Gross
1.	The Lion King	Walt Disney Pictures	Rob Minkoff , Roger Allers	$768,625,889
2.	Forrest Gump	Paramount Pictures	Robert Zemeckis	$677,387,716
3.	True Lies	20th Century Fox	James Cameron	$378,882,411
4.	The Mask	New Line Cinema	Chuck Russell	$351,583,407
5.	Speed	20th Century Fox	Jan de Bont	$350,448,145
6.	The Flintstones	Universal Pictures	Brian Levant	$341,631,208
7.	Dumb and Dumber	New Line Cinema	Bobby Farrelly , Peter Farrelly	$247,275,374
8.	Four Weddings and a Funeral	Gramercy / Polygram	Mike Newell	$245,700,832
9.	Interview with the Vampire: The Vampire Chronicles	Geffen / Warner Bros.	Neil Jordan	$223,664,608
10.	Clear and Present Danger	Paramount Pictures	Phillip Noyce	$215,887,717
11.	Disclosure	Warner Bros.	Barry Levinson	$214,015,089
12.	Pulp Fiction	Miramax Films	Quentin Tarantino	$213,928,762
13.	Stargate	MGM	Roland Emmerich	$196,567,262
14.	The Santa Clause	Buena Vista	John Pasquin	$189,833,357
15.	Maverick	Warner Bros.	Richard Donner	$183,031,272
16.	The Specialist	Warner Bros.	Luis Llosa	$170,362,582
17.	Legends of the Fall	TriStar Pictures	Edward Zwick	$160,638,883
18.	Wolf	Columbia Pictures	Mike Nichols	$131,002,597
19.	Beverly Hills Cop III	Paramount Pictures	John Landis	$119,208,989
20.	Star Trek Generations	Paramount Pictures	David Carson	$118,071,125
