Week	Date	Opponent	Result	Attendance
1	September 19, 1965	at Philadelphia Eagles	L 34-27	54,260
2	September 26, 1965	at Cleveland Browns	W 49-13	80,161
3	October 4, 1965	Dallas Cowboys	W 20-13	32,034
4	October 10, 1965	at Washington Redskins	W 37-16	50,205
5	October 17, 1965	at Pittsburgh Steelers	W 20-7	31,085
6	October 24, 1965	Washington Redskins	L 24-20	32,228
7	October 31, 1965	at New York Giants	L 14-10	62,807
8	November 7, 1965	Pittsburgh Steelers	W 21-17	31,899
9	November 14, 1965	at Chicago Bears	L 34-13	45,663
10	November 21, 1965	New York Giants	L 28-15	31,704
11	November 28, 1965	Philadelphia Eagles	L 28-24	28,706
12	December 5, 1965	Los Angeles Rams	L 27-3	27,943
13	December 11, 1965	at Dallas Cowboys	L 27-13	38,499
14	December 19, 1965	Cleveland Browns	L 27-24	29,348
