Entrant	Constructor	Chassis	Tyre	Driver	Rounds
Rothmans Williams Renault	Williams - Renault	FW16 FW16B	G	Damon Hill	All
Rothmans Williams Renault	Williams - Renault	FW16 FW16B	G	Ayrton Senna	1-3
Rothmans Williams Renault	Williams - Renault	FW16 FW16B	G	David Coulthard	5-6, 8-13
Rothmans Williams Renault	Williams - Renault	FW16 FW16B	G	Nigel Mansell	7, 14-16
Tyrrell Racing Organisation	Tyrrell - Yamaha	022	G	Ukyo Katayama	All
Tyrrell Racing Organisation	Tyrrell - Yamaha	022	G	Mark Blundell	All
Mild Seven Benetton Ford	Benetton - Ford	B194	G	Michael Schumacher	1-11, 14-16
Mild Seven Benetton Ford	Benetton - Ford	B194	G	JJ Lehto	12-13
Mild Seven Benetton Ford	Benetton - Ford	B194	G	Jos Verstappen	1-2, 7-14
Mild Seven Benetton Ford	Benetton - Ford	B194	G	JJ Lehto	3-6
Mild Seven Benetton Ford	Benetton - Ford	B194	G	Johnny Herbert	15-16
Marlboro McLaren Peugeot	McLaren - Peugeot	MP4/9	G	Mika Häkkinen	1-9, 11-16
Marlboro McLaren Peugeot	McLaren - Peugeot	MP4/9	G	Philippe Alliot	10
Marlboro McLaren Peugeot	McLaren - Peugeot	MP4/9	G	Martin Brundle	All
Footwork Ford	Footwork - Ford	FA15	G	Christian Fittipaldi	All
Footwork Ford	Footwork - Ford	FA15	G	Gianni Morbidelli	All
Team Lotus	Lotus - Mugen-Honda	107C 109	G	Pedro Lamy	1-4
Team Lotus	Lotus - Mugen-Honda	107C 109	G	Alessandro Zanardi	5-10, 12
Team Lotus	Lotus - Mugen-Honda	107C 109	G	Philippe Adams	11, 13
Team Lotus	Lotus - Mugen-Honda	107C 109	G	Éric Bernard	14
Team Lotus	Lotus - Mugen-Honda	107C 109	G	Mika Salo	15-16
Team Lotus	Lotus - Mugen-Honda	107C 109	G	Johnny Herbert	1-13
Team Lotus	Lotus - Mugen-Honda	107C 109	G	Alessandro Zanardi	14-16
Sasol Jordan	Jordan - Hart	194	G	Rubens Barrichello	All
Sasol Jordan	Jordan - Hart	194	G	Eddie Irvine	1, 5-16
Sasol Jordan	Jordan - Hart	194	G	Aguri Suzuki	2
Sasol Jordan	Jordan - Hart	194	G	Andrea de Cesaris	3-4
Tourtel Larrousse F1	Larrousse - Ford	LH94	G	Olivier Beretta	1-10
Tourtel Larrousse F1	Larrousse - Ford	LH94	G	Philippe Alliot	11
Tourtel Larrousse F1	Larrousse - Ford	LH94	G	Yannick Dalmas	12-13
Tourtel Larrousse F1	Larrousse - Ford	LH94	G	Hideki Noda	14-16
Tourtel Larrousse F1	Larrousse - Ford	LH94	G	Érik Comas	1-15
Tourtel Larrousse F1	Larrousse - Ford	LH94	G	Jean-Denis Délétraz	16
Minardi Scuderia Italia	Minardi - Ford	M193B M194	G	Pierluigi Martini	All
Minardi Scuderia Italia	Minardi - Ford	M193B M194	G	Michele Alboreto	All
Ligier Gitanes Blondes	Ligier - Renault	JS39B	G	Éric Bernard	1-13
Ligier Gitanes Blondes	Ligier - Renault	JS39B	G	Johnny Herbert	14
Ligier Gitanes Blondes	Ligier - Renault	JS39B	G	Franck Lagorce	15-16
Ligier Gitanes Blondes	Ligier - Renault	JS39B	G	Olivier Panis	All
Scuderia Ferrari	Ferrari	412T1 412T1B	G	Jean Alesi	1, 4-16
Scuderia Ferrari	Ferrari	412T1 412T1B	G	Nicola Larini	2-3
Scuderia Ferrari	Ferrari	412T1 412T1B	G	Gerhard Berger	All
Broker Sauber Mercedes Sauber Mercedes	Sauber - Mercedes	C13	G	Karl Wendlinger	1-4
Broker Sauber Mercedes Sauber Mercedes	Sauber - Mercedes	C13	G	Andrea de Cesaris	6-14
Broker Sauber Mercedes Sauber Mercedes	Sauber - Mercedes	C13	G	JJ Lehto	15-16
Broker Sauber Mercedes Sauber Mercedes	Sauber - Mercedes	C13	G	Heinz-Harald Frentzen	All
MTV Simtek Ford	Simtek - Ford	S941	G	David Brabham	All
MTV Simtek Ford	Simtek - Ford	S941	G	Roland Ratzenberger	1-3
MTV Simtek Ford	Simtek - Ford	S941	G	Andrea Montermini	5
MTV Simtek Ford	Simtek - Ford	S941	G	Jean-Marc Gounon	7-13
MTV Simtek Ford	Simtek - Ford	S941	G	Domenico Schiattarella	14, 16
MTV Simtek Ford	Simtek - Ford	S941	G	Taki Inoue	15
Pacific Grand Prix	Pacific - Ilmor	PR01	G	Paul Belmondo	All
Pacific Grand Prix	Pacific - Ilmor	PR01	G	Bertrand Gachot	All
