Rider	Manufacturer	Laps	Time	Grid
Valentino Rossi	Yamaha	22	43:28.841	2
Toni Elias	Ducati	22	+15.004	13
Loris Capirossi	Suzuki	22	+21.689	9
Shinya Nakano	Honda	22	+25.859	8
Anthony West	Kawasaki	22	+29.465	6
Chris Vermeulen	Suzuki	22	+30.608	4
Marco Melandri	Ducati	22	+36.453	11
Alex de Angelis	Honda	22	+36.750	5
Andrea Dovizioso	Honda	22	+38.822	14
Jorge Lorenzo	Yamaha	22	+39.573	17
John Hopkins	Kawasaki	22	+39.610	3
Sylvain Guintoli	Ducati	22	+40.892	10
James Toseland	Yamaha	22	+1:11.490	16
Colin Edwards	Yamaha	22	+1:21.133	15
Dani Pedrosa	Honda	22	+1:37.038	12
Randy de Puniet	Honda	22	+1:38.407	7
Casey Stoner	Ducati	6	Accident	1
