Rank	Time	Athlete	Date	Place
1.	5.96	Irina Privalova	9 February 1995	Madrid, Spain
2.	6.00	Merlene Ottey	4 February 1994	Moscow
3.	6.02	Gail Devers	21 February 1999	Liévin
4.	6.04	Chioma Ajunwa	22 February 1998	Liévin
5.	6.05	Savatheda Fynes	13 February 2000	Liévin
5.	6.05	Philomena Mensah	13 February 2000	Liévin
7.	6.07 [A ]	Gwen Torrence	9 February 1996	Reno , NV
8.	6.08	Christy Opara-Thompson	16 February 1997	Liévin
9.	6.09	Zhanna Block	2 February 1993	Moscow
10	6.11	Marita Koch	2 February 1980	Grenoble
10	6.11	Liliana Allen	13 February 2000	Liévin
10	6.11	Christine Arron	26 February 2006	Aubière
