Week	Date	Opponent	Result	Game site	TV Time	Attendance
1	September 6, 1998	at Carolina Panthers	W 19-14	Ericsson Stadium	FOX 1:00et	65,129
2	September 13, 1998	Philadelphia Eagles	W 17-12	Georgia Dome	FOX 1:00et	46,456
3	Bye	Bye	Bye	Bye	Bye	Bye
4	September 27, 1998	at San Francisco 49ers	L 20-31	Candlestick Park	FOX 4:15et/1:15pt	62,296
5	October 4, 1998	Carolina Panthers	W 51-23	Georgia Dome	FOX 1:00et	50,724
6	October 11, 1998	at New York Giants	W 34-20	Giants Stadium	ESPN 8:15et	71,173
7	October 18, 1998	New Orleans Saints	W 31-23	Georgia Dome	FOX 1:00et	60,774
8	October 25, 1998	at New York Jets	L 3-28	The Meadowlands	FOX 1:00et	71,573
9	November 1, 1998	St. Louis Rams	W 38-15	Georgia Dome	FOX 1:00et	37,996
10	November 8, 1998	at New England Patriots	W 41-10	Foxboro Stadium	FOX 1:00et	59,790
11	November 15, 1998	San Francisco 49ers	W 31-19	Georgia Dome	FOX 1:00et	69,828
12	November 22, 1998	Chicago Bears	W 20-13	Georgia Dome	FOX 1:00et	60,804
13	November 29, 1998	at St. Louis Rams	W 21-10	Trans World Dome	FOX 1:00et/12:00ct	47,971
14	December 6, 1998	Indianapolis Colts	W 28-21	Georgia Dome	CBS 1:00et	61,141
15	December 13, 1998	at New Orleans Saints	W 27-17	Louisiana Superdome	FOX 1:00et/12:00ct	61,678
16	December 20, 1998	at Detroit Lions	W 24-17	Pontiac Silverdome	FOX 4:15et	67,143
17	December 27, 1998	Miami Dolphins	W 38-16	Georgia Dome	CBS 1:00et	69,754
