Season	Level	Division	Administration	Position
2000	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Pallolitto)	6th
2001	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Pallolitto)	2nd
2002	Tier 2	Ykkönen (First Division)	Finnish FA (Suomen Pallolitto)	4th
2003	Tier 2	Ykkönen (First Division)	Finnish FA (Suomen Pallolitto)	10th
2004	Tier 2	Ykkönen (First Division)	Finnish FA (Suomen Pallolitto)	9th
2005	Tier 2	Ykkönen (First Division)	Finnish FA (Suomen Pallolitto)	8th
2006	Tier 2	Ykkönen (First Division)	Finnish FA (Suomen Pallolitto)	12th
2007	Tier 2	Ykkönen (First Division)	Finnish FA (Suomen Pallolitto)	13th
2008	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Pallolitto)	4th
2009	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Pallolitto)	12th
2010	Tier 4	Kolmonen (Third Division)	Tampere District (SPL Tampere)	14th
