Newspaper/Magazine	Type	Language	Headquarter	Status
Al-Ayyam	Independent daily	Arabic	Aden	Locally blocked*
Al-Sahwa	Islamist weekly	Arabic/English	Aden	online
Al-Thawra	Government-owned	Arabic	Sana'a	online
Al-Jumhuriya	Government-owned	Arabic	Taiz	online
Yemen Observer	Independent	English/Arabic	Sana'a	online
Yemen Post	Independent online news portal	English	Sana'a	online
Yemen Times	Independent weekly	English	Sanaa	online
Al-Motamar	Government-owned	Arabic/English	Sana'a	online
Al-Thawri (Al-Eshteraki)	Weekly Socialist Party	Arabic	Aden	online
14th October	Government-owned	English/Arabic	Aden	online
Telecoms & IT magazine	Government-owned	Arabic	Sana'a	online
