Poll Source	Dates administered	Democrat: John Kerry	Republican: Jeff Beatty	Lead Margin
Survey USA	October 28, 2008	58%	34%	24
Survey USA	October 14, 2008	59%	29%	30
Rasmussen Reports	October 13, 2008	63%	31%	32
Rasmussen Reports	September 23, 2008	65%	30%	35
Survey USA	September 22-September 23, 2008	63%	25%	38
Rasmussen Reports	August 5, 2008	59%	32%	27
Rasmussen Reports	June 30, 2008	58%	27%	31
Rasmussen Reports	May 28, 2008	63%	25%	38
Rasmussen Reports	April 22, 2008	55%	30%	25
Zogby International	July 8, 2007	58%	23%	25
