Name	Dist. from Origin	Dist. from Terminus	Speed Limit	Location (all in Nagano )
Okaya JCT	0.0	75.8	70km/h	Okaya
Okaya Overpass	↓	↑	70km/h	Okaya
Okaya Tunnel	↓	↑	70km/h	Okaya
Okaya IC/ Okaya (Imai) BS	3.7	72.1	70km/h	Okaya
Enrei Tunnel	↓	↑	70km/h	Okaya
Enrei Tunnel	↓	↑	70km/h	Shiojiri
Midoriko PA	8.4	67.4	70km/h	Shiojiri
Shiojiri IC	10.9	64.9	70km/h	Shiojiri
Shiojiri IC	10.9	64.9	100km/h	Shiojiri
Hirooka-Nomura BS	14.1	61.7	100km/h	Shiojiri
Shiojiri-kita IC	17.6	58.2	100km/h	Shiojiri
Naraigawa Bridge	↓	↑	100km/h	Matsumoto
Kanbayashi BS	21.0	54.8	100km/h	Matsumoto
Matsumoto JCT	↓	↑	100km/h	Matsumoto
Matsumoto IC	25.8	50.0	100km/h	Matsumoto
Azusagawa SA	29.1	(46.7)	100km/h	Matsumoto
Azusagawa Bridge	↓	↑	100km/h	Matsumoto
Azusagawa Bridge	↓	↑	100km/h	Azumino
Azusagawa SA	(29.9)	45.9	100km/h	Azumino
Toyoshina IC	33.1	42.7	100km/h	Azumino
Toyoshina IC	33.1	42.7	80km/h	Azumino
Saigawa Bridge	↓	↑	80km/h	Azumino
Akashina BS	36.5	39.3	80km/h	Azumino
Akashina Tunnel	↓	↑	80km/h	Azumino
Shiga BS	40.5	35.3	80km/h	Matsumoto
Tachitoge Tunnel	↓	↑	80km/h	Matsumoto
Tachitoge Tunnel	↓	↑	80km/h	Chikuhoku
Honjō BS	47.3	28.5	80km/h	Chikuhoku
Sakakita BS	51.5	24.3	80km/h	Chikuhoku
Chikuhoku PA	52.8	23.0	80km/h	Chikuhoku
Chikuhoku PA	52.8	23.0	80km/h	Omi
Omi IC	56.3	19.5	80km/h	Omi
Ipponmatsu Tunnel	↓	↑	80km/h	Omi
Ipponmatsu Tunnel	↓	↑	80km/h	Chikuma
Obasute SA/ SIC	63.6	12.2	80km/h	Chikuma
Chikumagawa Bridge	↓	↑	80km/h	Nagano
Chikumagawa Bridge	↓	↑	80km/h	Chikuma
Kōshoku IC	74.9	0.9	80km/h	Chikuma
Kōshoku JCT	75.8	0.0	80km/h	Chikuma
Through to Jōshin-etsu Expressway	Through to Jōshin-etsu Expressway	Through to Jōshin-etsu Expressway	Through to Jōshin-etsu Expressway	Through to Jōshin-etsu Expressway
