Stage	Time	Name	Length	Winner
SS1	08:38	Monti Rossu - Pila Canale 1	18.10km	CANCELLED
SS2	09:46	Belvedere - Bocca Albitrina 1	16.62km	M. Grönholm
SS3	10:44	Arbellara - Aullene 1	27.42km	M. Grönholm
SS4	14:02	Monti Rossu - Pila Canale 2	18.10km	S. Loeb
SS5	15:10	Belvedere - Bocca Albitrina 2	16.62km	S. Loeb
SS6	16:08	Arbellara - Aullene 2	27.42km	S. Loeb
SS7	08:58	Carbuccia - Scalella 1	21.88km	S. Loeb
SS8	10:31	Calcatoggio - Plage du Liamone 1	26.55km	S. Loeb
SS9	11:29	Vico - Col St Roch 1	13.04km	S. Loeb
SS10	14:22	Carbuccia - Scalella 2	21.88km	D. Sordo
SS11	15:55	Calcatoggio - Plage du Liamone 2	26.55km	S. Loeb
SS12	16:53	Vico - Col St Roch 2	13.04km	S. Loeb
SS13	08:53	Penitencier Coti - Pietra Rossa 1	24.24km	S. Loeb
SS14	09:36	Pont de Calzola - Agosta 1	31.81km	D. Sordo
SS15	12:19	Penitencier Coti - Pietra Rossa 2	24.24km	D. Sordo
SS16	13:02	Pont de Calzola - Agosta 2	31.81km	D. Sordo
