Name	Pinnacle height	Floors	Completion	City
Pingan International Finance Centre	m (ft)	115	2015	Shenzhen
Shanghai Tower	m (ft)	128	2014	Shanghai
Wuhan Greenland Financial Center	m (ft)	119	2016	Wuhan
Goldin Finance 117	m (ft)	117	2015	Tianjin
Rose Rock IFC	m (ft)	100	2015	Tianjin
Chow Tai Fook Centre	m (ft)	116	2016	Guangzhou
The CTF Tianjin	m (ft)	97	2015	Tianjin
China Resources Headquarters	m (ft)	100	2017	Shenzhen
China Zun	m (ft)	108	2016	Beijing
Kaisa Feng Long Centre	m (ft)	92	2015	Shenzhen
Dalian Greenland Center	m (ft)	88	2016	Dalian
Tianjin R&F Guangdong Tower	m (ft)	91	2016	Tianjin
International Commerce Center 1	m (ft)	99	2016	Chongqing
Wuhan Center	m (ft)	88	2015	Wuhan
Wuhan Tiandi A1	m (ft)	76	2016	Wuhan
JW Marriott International Finance Centre	m (ft)	102	2014	Chongqing
Dalian Eton Center	m (ft)	81	2013	Dalian
Forum 66 Tower 1	m (ft)	76	2013	Shenyang
Sino Steel Tower	m (ft)	80	2015	Tianjin
Forum 66 Tower 2	m (ft)	68	2013	Shenyang
Wenzhou Lucheng Plaza	m (ft)	71	2013	Wenzhou
Gezhouba International Plaza	m (ft)	69	2013	Wuhan
