Facility	Location	Year Opened	Major Facility	Population Gender	Capacity	Custody Level(s)
Airway Heights Corrections Center (AHCC)	Airway Heights	1992	Yes	Male	2258	MI-2 MI-3 Medium
Cedar Creek Corrections Center (CCCC)	Littlerock	1954	No	Male	480	MI-2
Clallam Bay Corrections Center (CBCC)	Clallam Bay	1985	Yes	Male	858	Medium Close Maximum
Coyote Ridge Corrections Center (CRCC)	Connell	1992 (MSU) 2009 (MSC)	Yes	Male	2468	MI-2 MI-3 Medium
Larch Corrections Center (LCC)	Yacolt	1956	No	Male	480	MI-2
Mission Creek Corrections Center for Women (MCCCW)	Belfair	2005	No	Female	305	MI-2
Monroe Correctional Complex (MCC)	Monroe	1910	Yes	Male	2400	MI-2 Medium Close Maximum
Olympic Corrections Center (OCC)	Forks	1968	No	Male	378	MI-2
Stafford Creek Corrections Center (SCCC)	Aberdeen	2000	Yes	Male	1936	MI-2 Medium Maximum
Washington Corrections Center (WCC)	Shelton	1964	Yes	Male	1268	Medium Close Maximum
Washington Corrections Center for Women (WCCW)	Gig Harbor	1971	Yes	Female	738	MI-2 Medium Close
