Rank	Country/Territory	Miss World	1st Runner-up	2nd Runner-up	3rd Runner-up	4th Runner-up	5th Runner-up	6th Runner-up	Semifinalists	Total
1	Venezuela	6	2	4	2	2	0	1	14	30
2	United Kingdom	5	6	4	3	3	1	1	14	37
3	India	5	1	0	1	1	0	0	12	20
4	United States	3	5	2	0	6	2	1	25	44
5	Sweden	3	1	0	2	2	2	0	10	20
6	Jamaica	3	0	3	1	2	0	0	14	23
7	Iceland	3	0	1	0	1	0	0	2	7
8	South Africa	2	4	6	1	2	0	0	17	32
9	Australia	2	2	4	2	0	0	0	14	24
10	Argentina	2	2	0	0	0	1	0	7	12
11	Germany	2	1	3	1	1	0	0	10	18
12	Peru	2	1	1	0	0	0	0	3	7
13	Netherlands	2	1	0	1	1	0	0	9	14
14	Austria	2	0	1	2	0	0	1	9	15
15	China	2	0	1	0	3	0	0	1	7
16	Russia	2	0	0	0	0	0	0	5	7
17	France	1	3	2	3	0	2	1	14	24
18	Finland	1	2	1	1	1	0	0	11	17
19	Philippines	1	2	1	0	3	0	0	8	15
