Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1991	Tamas Gebhard	Andrea Harsági	Tamas Gebhard Richard Banhidi	Andrea Dakó Andrea Harsági	Jeliazko Valkov Diana Filipova
1992	Iasen Borisov	Reni Asenova	Michail Popov Tzvetozar Soyanov	Reni Asenova Raina Tzvetkova	Emerik Balazs Erika Stich
1993	Anatoliy Skripko	Elena Nozdran	Vladislav Druzchenko Valeri Streltsov	Elena Nozdran Irina Koloskova	Valeri Streltsov Elena Nozdran
1994	No competition	No competition	No competition	No competition	No competition
1995	Mihail Popov	Victoria Hristova	Mihail Popov Liyben Panov	Victoria Hristova Raina Tzvetcova	Svetoslav Stoyanov Raina Tzvetcova
1996–1997	No competition	No competition	No competition	No competition	No competition
1998	Konstantin Dobrev	Csilla Forian	Konstantin Dobrev Asparuch Nedkov	Diana Koleva Raina Tzvetkova	Konstantin Dobrev Diana Koleva
1999	Hidetaka Yamada	Maja Pohar	Manuel Dubruille Vincent Laigle	Diana Koleva Nely Nedjalkova	Andrej Pohar Maja Pohar
2000	Oliver Pongratz	Lonneke Janssen	Mathias Boe Michael Jensen	Britta Andersen Lene Mørk	Mathias Boe Britta Andersen
2001 2005	No competition	No competition	No competition	No competition	No competition
2006	Jan Vondra	Petya Nedelcheva	Vladimir Metodiev Stilian Makarski	Petya Nedelcheva Diana Dimova	Stilian Makarski Diana Dimova
2007	Sho Sasaki	Tracey Hallam	Kenichi Hayakawa Kenta Kazuno	Fiona Mckee Charmaine Reid	Valeriy Atrashchenkov Elena Prus
2008	Ville Lang	Hwang Hye-youn	Vladimir Metodiev Krasimir Yankov	Olga Golovanova Anastasia Prokopenko	Stilian Makarski Diana Dimova
2009	Dionysius Hayom Rumbaka	Petya Nedelcheva	Julian Hristov Vladimir Metodiev	Petya Nedelcheva Dimitria Popstoikova	Valeriy Atrashchenkov Elena Prus
2010	Yeoh Kay Bin	Hitomi Oka	Jürgen Koch Peter Zauner	Shinta Mulia Sari Yao Lei	Chayut Triyachart Yao Lei
2011	Koichi Saeki	Minatsu Mitani	Sam Magee Tony Stephenson	Alex Bruce Michelle Li	Sam Magee Chloe Magee
2012	Marcel Reuter	Kana Ito	Laurent Constantin Sebastien Vincent	Sandra-Maria Jensen Line Kjaersfeldt	Edi Subaktiar Melati Daeva Oktaviani
2013	Takuto Inoue	Beatriz Corrales	Takuto Inoue Yuki Kaneko	Irina Khlebko Ksenia Polikarpova	Choi Sol-kyu Kim Hye-rin
