Name	Latitude	Longitude	Diameter	Year named	Namesake
Abydos Facula	33.4N	153.4W	180.0	1985	Egyptian town where Osiris was worshipped.
Akhmin Facula	27.7N	189.5W	245.0	1997	Egyptian town where Min was worshipped.
Bigeh Facula	29.0N	94.3W	224.0	2000	Island where Hapi, Egyptian Nile god, resided.
Buto Facula	13.2N	203.5W	245.0	1985	Swamp where Isis hid Osiris' body.
Coptos Facula	9.9N	209.2W	329.0	1985	Early town from which caravans departed.
Edfu Facula	25.7N	147.1W	184.0	1985	Egyptian town where Horus was worshipped.
Heliopolis Facula	18.5N	147.2W	50.0	1997	Sacred Egyptian city of the sun.
Hermopolis Facula	22.4N	195.3W	260.0	1997	Place where Unut was worshipped.
Memphis Facula	14.1N	131.9W	361.0	1985	Ancient capitol of lower kingdom.
Sais Facula	37.9N	14.2W	137.0	1988	Capital of Egypt in mid-7th century B.C.
Siwah Facula	7.0N	143.1W	220.0	1985	Oasis oracle of Zeus-Ammon; visited by Alexander.
