Week	Date	Opponent	Result	Attendance
1	September 17, 1967	at St. Louis Cardinals	W 37–20	40,801
2	September 24, 1967	at Dallas Cowboys	L 38–24	66,209
3	October 1, 1967	at Washington Redskins	L 38–34	50,266
4	October 8, 1967	New Orleans Saints	W 27–21	62,670
5	October 15, 1967	at Pittsburgh Steelers	W 27–24	39,782
6	October 22, 1967	Green Bay Packers	L 48–21	62,585
7	October 29, 1967	Cleveland Browns	W 38–34	62,903
8	November 5, 1967	at Minnesota Vikings	L 27–24	44,960
9	November 12, 1967	at Chicago Bears	L 34–7	46,223
10	November 19, 1967	Pittsburgh Steelers	W 28–20	62,982
11	November 26, 1967	Philadelphia Eagles	W 44–7	63,027
12	December 3, 1967	at Cleveland Browns	L 24–14	78,594
13	December 10, 1967	Detroit Lions	L 30–7	63,011
14	December 17, 1967	St. Louis Cardinals	W 37–14	62,955
