Townland	Area( acres )	Barony	Civil parish	Poor law union
Abbey	27	Bantry	Kilmocomoge	Bantry
Ahil Beg	260	Bantry	Kilmocomoge	Bantry
Ahil More	498	Bantry	Kilmocomoge	Bantry
Ahildotia	144	Bantry	Kilmocomoge	Bantry
Ardaturrish Beg	401	Bantry	Kilmocomoge	Bantry
Ardaturrish More	458	Bantry	Kilmocomoge	Bantry
Ardnacloghy	322	Bantry	Kilmocomoge	Bantry
Ardnagashel	198	Bantry	Kilmocomoge	Bantry
Ardnageehy Beg	175	Bantry	Kilmocomoge	Bantry
Ardnageehy More	229	Bantry	Kilmocomoge	Bantry
Ardnamanagh	126	Bantry	Kilmocomoge	Bantry
Ardrah	477	Bantry	Kilmocomoge	Bantry
Ards Beg	188	Bantry	Kilmocomoge	Bantry
Ards More (East)	87	Bantry	Kilmocomoge	Bantry
Ards More (West)	77	Bantry	Kilmocomoge	Bantry
Ardyhoolihane	85	Bantry	Kilmocomoge	Bantry
Ballylicky	131	Bantry	Kilmocomoge	Bantry
Ballynamought	542	Bantry	Kilmocomoge	Bantry
Barnagerargh	171	Bantry	Kilmocomoge	Bantry
Beach	317	Bantry	Kilmocomoge	Bantry
Boolteenagh	146	Bantry	Durrus	Bantry
Breeny Beg	161	Bantry	Kilmocomoge	Bantry
Breeny More	351	Bantry	Kilmocomoge	Bantry
Caher	74	Bantry	Kilmocomoge	Bantry
Caherdaniel East	119	Bantry	Kilmocomoge	Bantry
Caherdaniel West	96	Bantry	Kilmocomoge	Bantry
Cahermoanteen	257	Bantry	Kilmocomoge	Bantry
Cahermuckee	706	Bantry	Kilmocomoge	Bantry
Cahernacrin	484	Bantry	Kilmocomoge	Bantry
Cappaboy Beg	633	Bantry	Kilmocomoge	Bantry
Cappaboy More	782	Bantry	Kilmocomoge	Bantry
Cappanaboul	260	Bantry	Kilmocomoge	Bantry
Cappanabrick	254	Bantry	Kilmocomoge	Bantry
Cappanaloha East	68	Bantry	Kilmocomoge	Bantry
Cappanaloha West	68	Bantry	Kilmocomoge	Bantry
Cappanavar	44	Bantry	Kilmocomoge	Bantry
Carran	485	Bantry	Kilmocomoge	Bantry
Carriganass	307	Bantry	Kilmocomoge	Bantry
Carrigboy	87	Bantry	Kilmocomoge	Bantry
Carrignagat	27	Bantry	Kilmocomoge	Bantry
Chapel Island (Little)	5	Bantry	Kilmocomoge	Bantry
Chapel Island	9	Bantry	Kilmocomoge	Bantry
Clashduff	27	Bantry	Kilmocomoge	Bantry
Cloonygorman	273	Bantry	Kilmocomoge	Bantry
Close	86	Bantry	Kilmocomoge	Bantry
Cooleenlemane	721	Bantry	Kilmocomoge	Bantry
Coomacroobeg	461	Bantry	Kilmocomoge	Bantry
Coomanore North	428	Bantry	Kilmocomoge	Bantry
Coomanore South	377	Bantry	Kilmocomoge	Bantry
Coomclogh	406	Bantry	Kilmocomoge	Bantry
Coomleagh East	848	Bantry	Kilmocomoge	Bantry
Coomleagh West	534	Bantry	Kilmocomoge	Bantry
Coorloum East	160	Bantry	Kilmocomoge	Bantry
Coorloum North	514	Bantry	Kilmocomoge	Bantry
Coorloum West	131	Bantry	Kilmocomoge	Bantry
Coorycommane	618	Bantry	Kilmocomoge	Bantry
Cooryleary	394	Bantry	Kilmocomoge	Bantry
Coumaclavlig	1148	Bantry	Kilmocomoge	Bantry
