Rank	Name	Nation	Points	Places
1	Wolfgang Schwarz	Austria	1904.1	13
2	Tim Wood	United States	1891.6	17
3	Patrick Péra	France	1864.5	31
4	Emmerich Danzer	Austria	1873.0	29
5	Gary Visconti	United States	1810.2	52
6	John Misha Petkevich	United States	1806.2	56
7	Jay Humphry	Canada	1795.0	63
8	Ondrej Nepela	Czechoslovakia	1772.8	73
9	Sergei Chetverukhin	Soviet Union	1737.0	93
10	Marian Filc	Czechoslovakia	1734.2	97
11	Günter Zöller	East Germany	1727.9	100
12	Peter Krick	West Germany	1723.2	104
13	Philippe Pélissier	France	1706.0	114
14	Giordano Abbondati	Italy	1690.9	117
15	Michael Williams	Great Britain	1650.9	147
16	David McGillivray	Canada	1663.7	139
17	Haig Oundjian	Great Britain	1639.5	154
18	Sergei Volkov	Soviet Union	1632.0	158
19	Jenő Ébert	Hungary	1595.4	180
20	Jacques Mrozek	France	1601.0	179
21	Tsuguhiko Kozuka	Japan	1584.0	189
22	Steve Hutchinson	Canada	1578.3	193
23	Günter Anderl	Austria	1574.7	193
24	Jürgen Eberwein	West Germany	1530.3	219
25	Yutaka Higuchi	Japan	1529.6	218
26	Jan Hoffmann	East Germany	1437.8	238
27	Thomas Callerud	Sweden	1399.3	241
28	Lee Kwang-Young	South Korea	1360.3	250
