Rank	London Borough	Indian Population	Pakistani Population	Bangladeshi Population	Chinese Population	Other Asian Population	Total Asian Population
1	Newham	42484	30307	37262	3930	19912	133895
2	Redbridge	45660	31051	16011	3000	20781	116503
3	Brent	58017	14381	1749	3250	28589	105986
4	Tower Hamlets	6787	2442	81377	8109	5786	104501
5	Harrow	63051	7797	1378	2629	26953	101808
6	Ealing	48240	14711	1786	4132	31570	100439
7	Hounslow	48161	13676	2189	2405	20826	87257
8	Hillingdon	36795	9200	2639	2889	17730	69253
9	Haringey	36795	9200	2639	2889	17730	69253
10	Barnet	27920	5344	2215	8259	22180	65918
11	Croydon	24660	10865	2570	3925	17607	59627
12	Waltham Forest	9134	26347	4632	2579	11697	54389
13	Merton	8106	7337	2216	2618	15866	36143
14	Camden	6083	1489	12503	6493	8878	35446
15	Enfield	11648	2594	5599	2588	12464	34893
16	Wandsworth	8642	9718	1493	3715	9770	33338
17	Westminster	7213	2328	6299	5917	10105	31862
18	Greenwich	7836	2594	1645	5061	12758	29894
19	Barking and Dagenham	7436	8007	7701	1315	5135	29594
