Week	Date	Opponent	Result	Record	Attendance
1	September 2, 1966	Oakland Raiders	L 23–14	0–1–0	25,188
2	September 9, 1966	New York Jets	L 19–14	0–2–0	33,650
3	September 18, 1966	at Buffalo Bills	L 58–24	0–3–0	37,176
4	Bye	Bye	Bye	Bye	Bye
5	October 2, 1966	at San Diego Chargers	L 44–10	0–4–0	26,444
6	October 9, 1966	at Oakland Raiders	L 21–10	0–5–0	28,863
7	October 16, 1966	Denver Broncos	W 24–7	1–5–0	22,191
8	October 23, 1966	at Houston Oilers	W 20–13	2–5–0	21,999
9	Bye	Bye	Bye	Bye	Bye
10	November 6, 1966	Buffalo Bills	L 29–0	2–6–0	36,685
11	November 13, 1966	at Kansas City Chiefs	L 34–16	2–7–0	33,733
12	November 20, 1966	at New York Jets	L 30–13	2–8–0	57,092
13	November 27, 1966	Boston Patriots	L 20–14	2–9–0	22,480
14	December 4, 1966	at Denver Broncos	L 17–7	2–10–0	32,116
15	December 11, 1966	Kansas City Chiefs	L 19–18	2–11–0	17,881
16	December 18, 1966	Houston Oilers	W 29–28	3–11–0	19,274
