Pick	Round	Player	Position	School
4	1	Broderick Thomas	Outside Linebacker	Nebraska
33	2	Danny Peebles	Wide Receiver	N.C. State
90	4	Anthony Florence	Defensive Back	Bethune-Cookman
117	5	Jamie Lawson	Running Back	Nicholls State
146	6	Chris Mohr	Punter	Alabama
154	6	Derrick Little	Linebacker	South Carolina
200	8	Carl Bax	Guard	Missouri
230	9	Patrick Egu	Running Back	Nevada
257	10	Ty Granger	Tackle	Clemson
284	11	Rod Mounts	Guard	Texas A&M
290	11	Willie Griffin	Defensive End	Nebraska
302	11	Herb Duncan	Wide Receiver	Northern Arizona
329	12	Terry Young	Defensive Back	Georgia Southern
