Year	Starts	Wins	Top 5	Top 10	Poles	Avg. Start	Avg. Finish	Winnings	Position	Team(s)
1999	4	0	0	0	0	28.0	26.8	$36,400	74th	#18 Joe Gibbs Racing
2000	31	0	2	4	3	24.3	23.0	$513,068	20th	#18 Joe Gibbs Racing
2003	6	0	1	1	0	15.0	14.3	$113,345	52nd	#00 Haas CNC Racing
2004	27	1	8	17	1	9.4	11.0	$1,168,779	12th	#00 Haas CNC Racing
2005	15	0	2	7	0	19.0	14.6	$400,883	30th	#32 Braun Racing
2006	35	0	3	7	2	20.2	21.2	$1,182,579	13th	#32/#38 Braun Racing
2007	35	1	7	11	2	17.6	17.5	$1,691,099	3rd	#38 Braun Racing
2008	35	0	3	13	0	14.5	16.2	$1,350,927	9th	#38 Braun Racing
2009	35	0	8	20	0	15.9	12.4	$1,699,080	4th	#38 Braun Racing
2010	35	0	6	14	0	16.1	17.5	$1,272,165	9th	#10/#38 Braun Racing
2011	34	0	2	12	0	13.0	13.9	$1,131,158	6th	#30/#38 Turner Motorsports
2012	2	0	0	1	0	6.5	10.0	$56,388	120th 1	#30 Turner Motorsports
