Pick	Round	Player	Position	School
33 (from Oakland)	2	Greg Roberts	Guard	Oklahoma
34	2	Gordon Jones	Wide Receiver	Pittsburgh
60 (from Baltimore)	3	Jerry Eckwood	Running Back	Arkansas
78 (from Houston)	3	Reggie Lewis	Defensive End	North Texas State
80 (from Oakland)	3	Rick Berns	Running Back	Nebraska
133 (from Houston)	5	Chuck Fusina	Quarterback	Penn State
217 (from Miami)	8	Gene Sanders	Defensive Tackle	Texas A&M
225	9	Henry Vereen	Wide Receiver	UNLV
281	11	Bob Rippentrop	Tight End	Fresno State
307	12	David Logan	Nose Tackle	Pittsburgh
