Week	Date	Opponent	Result	Attendance
1	September 6, 1981	at Detroit Lions	L 17-24	63,710
2	September 13, 1981	Chicago Bears	W 28-17	49,520
3	September 20, 1981	at Atlanta Falcons	L 17-34	56,653
4	September 27, 1981	New Orleans Saints	W 21-14	44,433
5	October 4, 1981	at Washington Redskins	W 30-17	51,843
6	October 11, 1981	Dallas Cowboys	W 45-14	57,574
7	October 18, 1981	at Green Bay Packers	W 13-3	50,171
8	October 25, 1981	Los Angeles Rams	W 20-17	59,190
9	November 1, 1981	at Pittsburgh Steelers	W 17-14	52,878
10	November 8, 1981	Atlanta Falcons	W 17-14	59,127
11	November 15, 1981	Cleveland Browns	L 12-15	52,455
12	November 22, 1981	at Los Angeles Rams	W 33-31	63,456
13	November 29, 1981	New York Giants	W 17-10	57,186
14	December 6, 1981	at Cincinnati Bengals	W 21-3	56,796
15	December 13, 1981	Houston Oilers	W 28-6	55,707
16	December 20, 1981	at New Orleans Saints	W 21-17	43,639
