Entrant	Constructor	Chassis	Engine	Tyre	Driver	Rounds
Camel Team Lotus Honda	Lotus - Honda	100T	Honda RA168E 1.5 V6 t	G	Nelson Piquet	All
Camel Team Lotus Honda	Lotus - Honda	100T	Honda RA168E 1.5 V6 t	G	Satoru Nakajima	All
Tyrrell Racing Organisation	Tyrrell - Ford	017	Ford Cosworth DFZ 3.5 V8	G	Jonathan Palmer	All
Tyrrell Racing Organisation	Tyrrell - Ford	017	Ford Cosworth DFZ 3.5 V8	G	Julian Bailey	All
Canon Williams Team	Williams - Judd	FW12	Judd CV 3.5 V8	G	Nigel Mansell	1-10, 13-16
Canon Williams Team	Williams - Judd	FW12	Judd CV 3.5 V8	G	Martin Brundle	11
Canon Williams Team	Williams - Judd	FW12	Judd CV 3.5 V8	G	Jean-Louis Schlesser	12
Canon Williams Team	Williams - Judd	FW12	Judd CV 3.5 V8	G	Riccardo Patrese	All
West Zakspeed Racing	Zakspeed	881	Zakspeed 1500/4 1.5 L4 t	G	Piercarlo Ghinzani	All
West Zakspeed Racing	Zakspeed	881	Zakspeed 1500/4 1.5 L4 t	G	Bernd Schneider	All
Honda Marlboro McLaren	McLaren - Honda	MP4/4	Honda RA168E 1.5 V6 t	G	Alain Prost	All
Honda Marlboro McLaren	McLaren - Honda	MP4/4	Honda RA168E 1.5 V6 t	G	Ayrton Senna	All
Automobiles Gonfaronaise Sportive	AGS - Ford	JH22 JH23	Ford Cosworth DFZ 3.5 V8	G	Philippe Streiff	All
Leyton House March Racing Team	March - Judd	881	Judd CV 3.5 V8	G	Maurício Gugelmin	All
Leyton House March Racing Team	March - Judd	881	Judd CV 3.5 V8	G	Ivan Capelli	All
USF&G Arrows Megatron	Arrows - Megatron	A10B	Megatron M12/13 1.5 L4 t	G	Derek Warwick	All
USF&G Arrows Megatron	Arrows - Megatron	A10B	Megatron M12/13 1.5 L4 t	G	Eddie Cheever	All
Benetton Formula Ltd	Benetton - Ford	B188	Ford Cosworth DFR 3.5 V8	G	Alessandro Nannini	All
Benetton Formula Ltd	Benetton - Ford	B188	Ford Cosworth DFR 3.5 V8	G	Thierry Boutsen	All
Osella Squadra Corse	Osella	FA1I FA1L	Osella 890T 1.5 V8 t	G	Nicola Larini	All
Rial Racing	Rial - Ford	ARC1	Ford Cosworth DFZ 3.5 V8	G	Andrea de Cesaris	All
Lois Minardi Team SpA	Minardi - Ford	M188	Ford Cosworth DFZ 3.5 V8	G	Adrián Campos	1-5
Lois Minardi Team SpA	Minardi - Ford	M188	Ford Cosworth DFZ 3.5 V8	G	Pierluigi Martini	6-16
Lois Minardi Team SpA	Minardi - Ford	M188	Ford Cosworth DFZ 3.5 V8	G	Luis Pérez-Sala	All
Ligier Loto	Ligier - Judd	JS31	Judd CV 3.5 V8	G	René Arnoux	All
Ligier Loto	Ligier - Judd	JS31	Judd CV 3.5 V8	G	Stefan Johansson	All
Scuderia Ferrari SpA SEFAC	Ferrari	F1/87/88C	Ferrari 033E 1.5 V6 t	G	Michele Alboreto	All
Scuderia Ferrari SpA SEFAC	Ferrari	F1/87/88C	Ferrari 033E 1.5 V6 t	G	Gerhard Berger	All
Larrousse Calmels	Lola - Ford	LC88	Ford Cosworth DFZ 3.5 V8	G	Yannick Dalmas	1-14
Larrousse Calmels	Lola - Ford	LC88	Ford Cosworth DFZ 3.5 V8	G	Aguri Suzuki	15
Larrousse Calmels	Lola - Ford	LC88	Ford Cosworth DFZ 3.5 V8	G	Pierre-Henri Raphanel	16
Larrousse Calmels	Lola - Ford	LC88	Ford Cosworth DFZ 3.5 V8	G	Philippe Alliot	All
Coloni SpA	Coloni - Ford	FC188 FC188B	Ford Cosworth DFZ 3.5 V8	G	Gabriele Tarquini	All
EuroBrun Racing	EuroBrun - Ford	ER188	Ford Cosworth DFZ 3.5 V8	G	Oscar Larrauri	All
EuroBrun Racing	EuroBrun - Ford	ER188	Ford Cosworth DFZ 3.5 V8	G	Stefano Modena	All
BMS Scuderia Italia	Dallara - Ford	3087 188	Ford Cosworth DFV 3.0 V8 Ford Cosworth DFZ 3.5 V8	G	Alex Caffi	All
