Pos.	Driver	Constructor	Part 1	Grid
1	Fernando Alonso	McLaren - Mercedes	1:16.059	1
2	Lewis Hamilton	McLaren - Mercedes	1:15.685	2
3	Felipe Massa	Ferrari	1:16.786	3
4	Giancarlo Fisichella	Renault	1:17.596	4
5	Nico Rosberg	Williams - Toyota	1:16.870	5
6	Mark Webber	Red Bull - Renault	1:17.816	6
7	Nick Heidfeld	BMW Sauber	1:17.385	7
8	Robert Kubica	BMW Sauber	1:17.584	8
9	Rubens Barrichello	Honda	1:17.244	9
10	Jenson Button	Honda	1:17.297	10
11	David Coulthard	Red Bull - Renault	1:17.204	13
12	Alexander Wurz	Williams - Toyota	1:17.874	11
13	Vitantonio Liuzzi	Toro Rosso - Ferrari	1:16.720	12
14	Jarno Trulli	Toyota	1:17.686	14
15	Heikki Kovalainen	Renault	1:17.836	15
16	Kimi Räikkönen	Ferrari	1:16.251	16
17	Anthony Davidson	Super Aguri - Honda	1:18.250	17
18	Scott Speed	Toro Rosso - Ferrari	1:18.390	18
19	Adrian Sutil	Spyker - Ferrari	1:18.418	19
20	Ralf Schumacher	Toyota	1:18.539	20
21	Takuma Sato	Super Aguri - Honda	1:18.554	21
22	Christijan Albers	Spyker - Ferrari	no time	22
Source:	Source:	Source:	Source:	Source:
