Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
3	November 1	@ New Jersey	W 105–97 (OT)	Stephen Jackson , Andris Biedriņš (23)	Andris Biedriņš (11)	Stephen Jackson (8)	Izod Center 17,390	1–2
4	November 3	@ Memphis	L 79–90 (OT)	Stephen Jackson (17)	Andris Biedriņš (22)	Stephen Jackson (5)	FedExForum 10,121	1–3
5	November 5	Denver	W 111–101 (OT)	Stephen Jackson (29)	Brandan Wright (13)	Stephen Jackson (7)	Oracle Arena 18,194	2–3
6	November 7	Memphis	L 104–109 (OT)	Stephen Jackson (27)	Andris Biedriņš (12)	C. J. Watson (8)	Oracle Arena 18,744	2–4
7	November 9	@ Sacramento	L 98–115 (OT)	Andris Biedriņš (16)	Andris Biedriņš (18)	Stephen Jackson (6)	ARCO Arena 12,090	2–5
8	November 11	Minnesota	W 113–110 (OT)	Stephen Jackson (30)	Andris Biedriņš (15)	Stephen Jackson (5)	Oracle Arena 17,422	3–5
9	November 13	Detroit	L 102–107 (OT)	C. J. Watson , Andris Biedriņš (17)	Andris Biedriņš (19)	Stephen Jackson (9)	Oracle Arena 18,477	3–6
10	November 15	@ L.A. Clippers	W 121–103 (OT)	Anthony Morrow (37)	Andris Biedriņš (16)	Stephen Jackson (10)	Staples Center 12,823	4–6
11	November 18	Portland	W 111–106 (OT)	Anthony Morrow (25)	Andris Biedriņš (9)	Stephen Jackson (8)	Oracle Arena 18,284	5–6
12	November 21	Chicago	L 110–115 (OT)	Stephen Jackson (32)	Andris Biedriņš (10)	Stephen Jackson , C. J. Watson (6)	Oracle Arena 19,596	5–7
13	November 23	@ Philadelphia	L 81–89 (OT)	Kelenna Azubuike (16)	Andris Biedriņš (8)	Stephen Jackson (7)	Wachovia Center 13,556	5–8
14	November 25	@ Washington	L 100–124 (OT)	Corey Maggette (17)	Andris Biedriņš (9)	Stephen Jackson (8)	Verizon Center 13,852	5–9
15	November 26	@ Boston	L 111–119 (OT)	Corey Maggette (32)	Andris Biedriņš (9)	Stephen Jackson , Jamal Crawford (6)	TD Banknorth Garden 18,624	5–10
16	November 28	@ Cleveland	L 97–112 (OT)	C. J. Watson (17)	Anthony Randolph , Andris Biedriņš (7)	Jamal Crawford (6)	Quicken Loans Arena 20,562	5–11
