Date	Visitor	Score	Home	Decision	Attendance	Record
December 1	Chicago	1 – 3	St. Louis	Toivonen	19,150	15–8–1
December 4	St. Louis	1 – 3	Calgary	Toivonen	19,289	15–9–1
December 7	St. Louis	4 – 3	Edmonton	Toivonen	16,839	16–9–1
December 9	St. Louis	5 – 9	Colorado	Toivonen	15,476	16–10–1
December 11	Edmonton	5 – 4	St. Louis	Toivonen	14,329	16–10–2
December 13	Florida	1 – 0	St. Louis	Legace	14,088	16–11–2
December 16	Calgary	5 – 3	St. Louis	Legace	16,733	16–12–2
December 20	Detroit	2 – 3	St. Louis	Legace	19,150	17–12–2
December 22	St. Louis	4 – 1	Boston	Legace	14,200	18–12–2
December 23	Atlanta	3 – 2	St. Louis	Legace	17,731	18–12–3
December 26	Detroit	5 – 0	St. Louis	Legace	19,250	18–13–3
December 28	San Jose	1 – 0	St. Louis	Legace	19,250	18–14–3
December 29	St. Louis	4 – 5	Dallas	Toivonen	18,532	18–14–4
December 31	St. Louis	2 – 0	Detroit	Legace	20,066	19–14–4
