Chambering	P1 diameter (mm)	A external (cm 2 )	P max ( bar )	F bolt ( kgf )	F bolt
5.45x39mm	10.00	0.7854	3800	2985	N ( lbf )
.223 Remington	9.58	0.7208	4300	3099	N (lbf)
7.62x39mm	11.35	1.0118	3550	3592	N (lbf)
.308 Winchester	11.96	1.1234	4150	4662	N (lbf)
.300 Winchester Magnum	13.03	1.3335	4300	5734	N (lbf)
.300 WSM	14.12	1.5659	4450	6968	N (lbf)
.300 Remington Ultra Magnum	13.97	1.5328	4480	6876	N (lbf)
.338 Lapua Magnum	14.91	1.7460	4200	7333	N (lbf)
.300 Lapua Magnum	14.91	1.7460	4700	8339	N (lbf)
.50 BMG	20.42	3.2749	3700	12117	N (lbf)
