Season	Driver	Owner	No.	Manufacturer	Starts	Wins	Top Tens	Poles	Points (margin)
1995	Mike Skinner	Richard Childress	3	Chevrolet	20 (of 20)	8	18	7	3224 (126)
1996	Ron Hornaday, Jr.	Dale Earnhardt	16	Chevrolet	24 (of 24)	4	23	2	3831 (53)
1997	Jack Sprague	Rick Hendrick	24	Chevrolet	26 (of 26)	3	23	5	3969 (232)
1998	Ron Hornaday, Jr.	Dale Earnhardt	16	Chevrolet	27 (of 27)	6	22	2	4072 (3)
1999	Jack Sprague	Rick Hendrick	24	Chevrolet	25 (of 25)	3	19	1	3747 (8)
2000	Greg Biffle	Jack Roush	50	Ford	24 (of 24)	5	18	4	3826 (230)
2001	Jack Sprague	Rick Hendrick	24	Chevrolet	24 (of 24)	4	17	7	3670 (73)
2002	Mike Bliss	Steve Coulter	16	Chevrolet	25 (of 25)	5	18	4	3359 (46)
2003	Travis Kvapil	Steve Coulter	16	Chevrolet	25 (of 25)	1	22	0	3837 (9)
2004	Bobby Hamilton	Self-owned	4	Dodge	25 (of 25)	4	16	0	3624 (46)
2005	Ted Musgrave	Jim Smith	1	Dodge	25 (of 25)	1	15	1	3535 (55)
2006	Todd Bodine	Stephen Germain	30	Toyota	25 (of 25)	3	16	1	3666 (127)
2007	Ron Hornaday, Jr.	Kevin Harvick	33	Chevrolet	25 (of 25)	4	22	1	3982 (54)
2008	Johnny Benson	Bill Davis	23	Toyota	25 (of 25)	5	18	3	3725 (7)
2009	Ron Hornaday, Jr.	Kevin Harvick	33	Chevrolet	25 (of 25)	6	20	4	3959 (187)
2010	Todd Bodine	Stephen Germain	30	Toyota	25 (of 25)	4	20	2	3937 (207)
2011	Austin Dillon	Richard Childress	3	Chevrolet	25 (of 25)	2	16	5	888 (6)
