Year	Mens singles	Womens singles	Mens doubles	Womens doubles	Mixed doubles
1949	Einar Jónsson	no competition	Friðrik Sigurbjörnsson Guðjón Einarsson	no competition	no competition
1950	Ágúst Bjartmarz	Halla Árnadóttir	Georg L. Sveinsson Jón Jóhannesson	Jakobína Jósefsdóttir Unnur Briem	Georg L. Sveinsson Unnur Briem
1951	Ágúst Bjartmarz	Halla Árnadóttir	Augustus Bjartmars Ólafur Guðmundsson	Jakobína Jósefsdóttir Unnur Briem	Þorgeir Ibsen Halla Árnadóttir
1952	Wagner Walbom	Ebba Lárusdóttir	Einar Jónsson Wagner Walbom	Grethe Zimsen Ragna Hansen	Wagner Walbom Unnur Briem
1953	Wagner Walbom	Ebba Lárusdóttir	Einar Jónsson Wagner Walbom	Ebba Lárusdóttir Ragna Hansen	Wagner Walbom Unnur Briem
1954	Wagner Walbom	Ebba Lárusdóttir	Einar Jónsson Wagner Walbom	Ebba Lárusdóttir Ingveldur Sigurðardóttir	Wagner Walbom Unnur Briem
1955	Wagner Walbom	Ebba Lárusdóttir	Einar Jónsson Wagner Walbom	Ebba Lárusdóttir Ragna Hansen	Wagner Walbom Ellen Mogensen
1956	Ágúst Bjartmarz	Ebba Lárusdóttir	Einar Jónsson Wagner Walbom	Ellen Mogensen Júlíana Isebarn	Wagner Walbom Ellen Mogensen
1957	Wagner Walbom	Ebba Lárusdóttir	Friðrik Sigurbjörnsson Wagner Walbom	Ebba Lárusdóttir Júlíana Isebarn	Wagner Walbom Ellen Mogensen
1958	Ágúst Bjartmarz	Hansa Jónsdóttir	Thodir Jónsson Wagner Walbom	Ragna Jónsdóttir Rannveig Magnúsdóttir	August Bjartmars Hansa Jónsdóttir
1959	Ágúst Bjartmarz	Jónína Nieljóhníusardóttir	Einar Jónsson Óskar Guðmundsson	Hulda Guðmundsdóttir Rannveig Magnúsdóttir	Wagner Walbom Halldóra Thoroddsen
1960	Óskar Guðmundsson	Jónína Nieljóhníusardóttir	Lárus Guðmundsson Ragnar Thorsteinsson	Jónína Nieljóhníusardóttir Sig. Gudmundsdottir	Þorvaldur Ásgeirsson Lovísa Sigurðardóttir
1961	Óskar Guðmundsson	Lovísa Sigurðardóttir	Lárus Guðmundsson Ragnar Thorsteinsson	Hulda Guðmundsdóttir Rannveig Magnúsdóttir	Wagner Walbom Júlíana Isebarn
1962	Jón Árnason	Lovísa Sigurðardóttir	Einar Jónsson Wagner Walbom	Halldóra Thoroddsen Lovísa Sigurðardóttir	Lárus Guðmundsson Jónína Nieljóhníusardóttir
1963	Óskar Guðmundsson	no competition	Lárus Guðmundsson Ragnar Thorsteinsson	Halldóra Thoroddsen Jónína Nieljóhníusardóttir	Óskar Guðmundsson Halldóra Thoroddsen
1964	Óskar Guðmundsson	no competition	Garðar Alfonsson Óskar Guðmundsson	Halldóra Thoroddsen Jónína Nieljóhníusardóttir	Óskar Guðmundsson Hulda Guðmundsdóttir
