Rank	Island's Name	Area (sqmi)	Area (km 2 )	Location	Population (2000)
1	Hawai ʻ i (Big Island)	4,028	10,433	Hawaii	148,677
2	Kodiak Island	3,588	9,293	Alaska	13,913
3	Puerto Rico	3,515	9,104	Puerto Rico	3,808,610
4	Prince of Wales Island	2,577	6,675	Alaska	6,000 ≈
5	Chichagof Island	2,080	5,388	Alaska	1,342
6	St. Lawrence Island	1,983	5,135	Alaska	1,292
7	Admiralty Island	1,684	4,362	Alaska	650
8	Nunivak Island	1,625	4,209	Alaska	210
9	Unimak Island	1,590	4,119	Alaska	64
10	Baranof Island	1,570	4,065	Alaska	8,532
11	Long Island	1,401	3,629	New York	7,448,618
12	Revillagigedo Island	1,145	2,965	Alaska	13,950
13	Kupreanof Island	1,086	2,813	Alaska	785
14	Unalaska Island	1,051	2,722	Alaska	1,759
15	Nelson Island	843	2,183	Alaska	1,065
16	Kuiu Island	758	1,962	Alaska	10
17	Maui	727	1,883	Hawaii	117,644
18	Afognak	698	1,809	Alaska	169
19	Umnak	692	1,793	Alaska	39
20	O ʻ ahu	597	1,545	Hawaii	876,151
21	Kaua ʻ i	552	1,430	Hawaii	58,303
22	Atka Island	410	1,061	Alaska	95
23	Attu Island	346	896	Alaska	20
24	Etolin Island	336	870	Alaska	15
25	Adak Island	280	725	Alaska	316
26	Montague Island	279	722	Alaska	0
27	Moloka ʻ i	260	673	Hawaii	7,404
28	Dall Island	253	655	Alaska	20
