Pick #	Player	Position	Nationality	NHL team	College/junior/club team
113	Mike Kennedy	Right Wing	Canada	New York Islanders	Kitchener Rangers (OHA)
114	Bruce Greig	Left Wing	Canada	California Golden Seals	Vancouver Nats (WCHL)
115	John Senkpiel	Left Wing	Canada	Vancouver Canucks	Vancouver Nats (WCHL)
116	Les Burgess	Left Wing	Canada	Toronto Maple Leafs	Kitchener Rangers (OHA)
117	Bob Law	Right Wing	Canada	Atlanta Flames	University of North Dakota (WCHA)
118	Dennis Polonich	Centre	Canada	Detroit Red Wings	Flin Flon Bombers (WCHL)
119	Fred Comrie	Centre	Canada	Pittsburgh Penguins	Edmonton Oil Kings(WCHL)
120	Jean Tetreault	Left Wing	Canada	St. Louis Blues	Drummondville Rangers (QMJHL)
121	George Beveridge	Defence	Canada	Minnesota North Stars	Kitchener Rangers (OHA)
122	Norm Barnes	Defence	Canada	Philadelphia Flyers	Michigan State University (NCAA)
123	George Lyle	Left Wing	Canada	Detroit Red Wings	Michigan Technological University (NCAA)
124	Tim O'Connell	Right Wing	United States	Buffalo Sabres	University of Vermont (NCAA)
125	Jim Koleff	Centre	Canada	Chicago Black Hawks	Hamilton Red Wings (OHA)
126	Denis Desgagnes	Centre	Canada	New York Islanders	Sorel Eperviers (QMJHL)
127	Virgil Gates	Defence	Canada	Boston Bruins	Swift Current Broncos (WCHL)
128	Mario Desjardins	Left Wing	Canada	Montreal Canadiens	Sherbrooke Castors (QMJHL)
