Country	Skip	W	L	PF	PA	Ends Won	Ends Lost	Blank Ends	Stolen Ends	Shot %
China	Wang Bingyu	10	1	81	53	51	38	11	19	81
Denmark	Angelina Jensen	9	2	78	55	49	40	13	12	80
Canada	Jennifer Jones	9	2	88	60	50	44	7	13	84
Sweden	Anette Norberg	7	4	79	65	47	45	11	13	80
Switzerland	Mirjam Ott	6	5	79	70	51	48	7	20	79
Germany	Andrea Schöpp	6	5	73	60	51	43	11	18	77
Russia	Ludmila Privivkova	5	6	62	74	41	52	11	7	79
Scotland	Eve Muirhead	5	6	62	64	42	40	18	11	80
United States	Debbie McCormick	4	7	67	78	47	48	3	13	79
South Korea	Kim Mi-Yeon	3	8	59	73	41	47	11	13	73
Norway	Marianne Rørvik	1	10	52	91	39	50	11	7	73
