Driver	Constructor	Laps	Time/Retired	Grid
Alberto Ascari	Ferrari	97	3:01:04.6	1
Luigi Villoresi	Ferrari	96	+1 lap	3
José Froilán González	Maserati	96	+1 lap	5
Mike Hawthorn	Ferrari	96	+1 lap	6
Oscar Alfredo Gálvez	Maserati	96	+1 lap	9
Jean Behra	Gordini	94	+3 laps	11
Maurice Trintignant Harry Schell	Gordini	91	+6 laps	7
John Barber	Cooper - Bristol	90	+7 laps	16
Alan Brown	Cooper - Bristol	87	+10 laps	12
Robert Manzon	Gordini	67	Wheel	8
Juan Manuel Fangio	Maserati	36	Transmission	2
Felice Bonetto	Maserati	32	Transmission	15
Nino Farina	Ferrari	31	Accident	4
Carlos Menditeguy	Gordini	24	Gearbox	10
Pablo Birger	Simca - Gordini - Gordini	21	Differential	14
Adolfo Schwelm Cruz	Cooper - Bristol	20	Wheel	13
Source:	Source:	Source:	Source:	Source:
