Contestant	Starting Weight (kg)	Final Weight (kg)	Weight Lost (kg)	Percentage Lost	Position (out of Eliminated Contestants)
Rick	172.6	97.2	75.4	43.68%	1st
David	165.6	99.2	66.4	40.10%	2nd
Teneale	97.4	58.8	38.6	39.63%	3rd
Phil	146.9	93.0	53.9	36.69%	4th
Jarna	118.8	75.5	43.3	36.45%	5th
Elise	104.6	66.7	37.9	36.23%	6th
Jenni	130.6	84.3	46.3	35.45%	7th
Phoebe	116.0	76.9	39.1	33.71%	8th
Caitlin	179.4	124.8	54.6	30.43%	9th
Geoff	161.6	117.8	43.8	27.10%	10th
Daina	105.2	77.8	27.4	26.05%	11th
Chris	128.9	104.2	24.7	19.16%	12th
Allan	155.8	131.5	24.3	15.60%	13th
