Stage	Date	Course	Distance	Winner	GC Leader
1	5 September	Córdoba	161,7	Markus Zberg	Markus Zberg
2	6 September	Córdoba - Cádiz	234,6	Jeroen Blijlevens	Markus Zberg
3	7 September	Cádiz - Estepona	192,6	Jaan Kirsipuu	Laurent Jalabert
4	8 September	Málaga - Granada	173,5	Fabrizio Guidi	Fabrizio Guidi
5	9 September	Olula del Río - Murcia	165,5	Jeroen Blijlevens	Fabrizio Guidi
6	10 September	Murcia - Xorret de Catí	201,5	José María Jiménez	José María Jiménez
7	11 September	Alicante - Valencia	185	Giovanni Lombardi	José María Jiménez
8	12 September	Palma de Mallorca	181,5	Fabrizio Guidi	José María Jiménez
9	13 September	Alcudia	39,5 ( ITT )	Abraham Olano	Abraham Olano
10	15 September	Vic - Estación de Pal (Andorra)	199,3	José María Jiménez	Abraham Olano
11	16 September	Andorra - Cerler	186	José María Jiménez	Abraham Olano
12	17 September	Benasque - Jaca	187	Gianni Bugno	Abraham Olano
13	18 September	Sabiñánigo	208,5	Andrei Zintchenko	Abraham Olano
14	19 September	Biescas - Zaragoza	155,5	Marcel Wüst	Abraham Olano
15	20 September	Zaragoza - Soria	178,7	Andrei Zintchenko	Abraham Olano
16	21 September	Soria - Laguna Negra de Neila	143,7	José María Jiménez	Abraham Olano
17	22 September	Burgos - León	188,5	Marcel Wüst	Abraham Olano
18	23 September	León - Salamanca	223	Fabrizio Guidi	Abraham Olano
19	24 September	Ávila - Segovia	170,4	Roberto Heras	Abraham Olano
20	25 September	Segovia - Alto de Navacerrada	206	Andrei Zintchenko	José María Jiménez
21	26 September	Fuenlabrada	39 ( ITT )	Alex Zülle	Abraham Olano
22	27 September	Madrid	163	Markus Zberg	Abraham Olano
