Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score
Runner-up	28-Aug-2000	Istanbul , Turkey	Hard	Yael Glitzenshtein	Susi Bensch Lucia Tallo	2-6, 4-6
Runner-up	30-Oct-2000	Ashkelon , Israel	Hard	Yael Glitzenshtein	Linda Akkerman Anouk Sinnige	4-1 5-4 (7) 4-2
Winner	August 5, 2001	Harrisonburg, Virginia , United States	Hard	Lara Van Rooyen	Aneta Soukup Anzela Zguna	7-5, 3-6, 6-2
Runner-up	29-Jun-2004	Inyo County, California , United States	Hard	Paula Zabala	Tamara Encina Alison Ojeda	3-6, 3-6
Winner	September 26, 2004	Tunica, Mississippi , United States	Clay	Aneta Soukup	Lïga Dekmeijere Natallia Dziamidzenka	6-2, 6-1
Winner	October 2, 2005	Pelham, Alabama , United States	Clay	Kristina Czafikova	Raquel Kops-Jones Kristen Schlukebir	7-6 (2), 6-4
Winner	April 2, 2006	Hammond, Louisiana , United States	Hard	Chan Chin-wei	Akgul Amanmuradova Romana Tedjakusuma	6-1, 6-3
Winner	April 9, 2006	Pelham, Alabama , United States	Clay	Romana Tedjakusuma	Tiffany Dabek Chanelle Scheepers	6-4, 6-1
Winner	June 18, 2006	Allentown, Pennsylvania , United States	Hard	Carly Gullickson	Julie Ditty Ansley Cargill	6-3, 6-4
Winner	August 6, 2006	Washington, D.C. , United States	Hard	Chin-Wei Chan	Akgul Amanmuradova Varvara Lepchenko	6-2, 1-6, 6-0
Winner	October 22, 2006	Houston, Texas , United States	Hard	Julie Ditty	Laura Granville Carly Gullickson	6-4, 4-6, 7-5
Winner	January 14, 2007	Tampa, Florida , United States	Hard	Angelika Bachmann	Andrea Hlaváčková Olga Blahotová	7-5, 6-2
Winner	January 21, 2007	Fort Walton Beach, Florida , United States	Hard	Angelika Bachmann	Marie-Ève Pelletier Sunitha Rao	7-5, 6-7 (7), 7-6 (4)
Runner-up	13-Mar-2007	Orange, California , United States	Hard	Chin-Wei Chan	Jorgelina Cravero Su-Wei Hsieh	3-6, 1-6
Winner	April 1, 2007	Hammond, Louisiana , United States	Hard	Chin-Wei Chan	Teodora Mirčić Marie-Ève Pelletier	6-1, 7-6 (3)
Winner	May 6, 2007	Incheon , South Korea	Hard	Romana Tedjakusuma	Lee Jin-a Yoo Mi	6-1, 6-4
Runner-up	07-May-2007	Gimcheon , South Korea	Hard	Romana Tedjakusuma	Chin-Wei Chan Su-Wei Hsieh	5-7, 4-6
Winner	July 1, 2007	Istanbul , Turkey	Hard	Monique Adamczak	Stanislava Hrozenská Maria Kondratieva	6-4, 6-4
Winner	16-Jul-2007	Rome , Italy	Clay	Chin-Wei Chan	Irina Buryachok Patricia Mayr-Achleitner	7-6 (7) 6-4
Runner-up	28-Jan-2008	La Quinta, California , United States	Hard	Angelika Bachmann	Carly Gullickson Shenay Perry	1-6, 4-6
Runner-up	03-Mar-2008	Las Vegas , United States	Hard	Chin-Wei Chan	Melinda Czink Renata Voracova	3-6, 2-6
Runner-up	17-Mar-2008	Redding, California , United States	Hard	Chin-Wei Chan	Angela Haynes Abigail Spears	4-6, 3-6
Winner	April 27, 2008	Dothan, Alabama , United States	Clay	Michaela Paštiková	Maria-Fernanda Alves Stéphanie Dubois	6-1, 6-3
Runner-up	23-Mar-2009	Hammond, Fresno County, California , United States	Hard	Chin-Wei Chan	Surina De Beer Lilia Osterloh	4-6, 3-6
Runner-up	23-Mar-2009	Indian Harbour Beach, Florida , United States	Clay	Lilia Osterloh	Heidi El Tabakh Melanie Klaffner	3-6, 6-3, 7-10
Runner-up	08-Jun-2009	El Paso ,USA	Hard	Maria Fernanda Alves	Christina Fusano Shikha Uberoi	3-6 5-7
Runner–up	June 27, 2009	Waterloo , Canada	Clay	Heidi El Tabakh	Alexandra Mueller Allie Will	2–6, 1–6
Winner	July 26, 2009	Lexington, Kentucky , United States	Hard	Kai-Chen Chang	Jacqueline Cako Alison Riske	6-3 6-2
Winner	June 27, 2010	Boston, Massachusetts , United States	Hard	Kimberly Couts	Lindsay Lee-Waters Megan Moulton-Levy	6-4 3-6 6-4
Runner–up	05-Jul-2010	Grapevine, Texas , United States	Hard	Kimberly Couts	Lindsay Lee-Waters Megan Moulton-Levy	2-6, 5-7
Winner	November 14, 2010	Phoenix, Arizona , United States	Hard	Coco Vandeweghe	Julia Boserup Sloane Stephens	7-5, 6-4
Runner–up	14 February 2011	Surprise, Arizona , United States	Hard	Mervana Jugić-Salkić	Remi Tezuka Shuko Aoyama	3–6, 1–6
Winner	June 26, 2011	Boston, Massachusetts , United States	Hard	Alexandra Mueller	Sharon Fichman Marie-Ève Pelletier	7-6(3), 6-3
Runner–up	September 17, 2011	Beijing , China	Hard	Zheng Saisai	Hao-Ching Chan Yung-Jan Chan	2-6, 3-6
Winner	September 17, 2011	Ningbo , China	Hard	Zheng Saisai	Chan Chin-Wei Han Xinyun	6-4, 5-7, [10-4]
Runner–up	10-Sep-2012	Ningbo , China	Hard	Zheng Saisai	Shuko Aoyama Kai-Chen Chang	2-6, 5-7
