Date	Tournament	Surface	Opponent in the final	Score
10 June 2001	Agadir	Clay	Rabie Chaki	6–3, 6–0
16 June 2002	Canary Islands	Clay	Marc Marco-Ripoll	7–5, 2–6, 6–0
24 August 2003	Irún	Clay	Ben-Qiang Zhu	1–6, 6–2, 6–4
5 September 2004	Oviedo	Clay	Carlos Cuadrado	7–5, 4–6, 6–4
7 May 2006	Vic	Clay	Miguel Ángel López Jaén	6–1, 6–4
30 July 2006	Dénia	Clay	Bartolomé Salvá-Vidal	7–5, 3–6, 6–3
20 August 2006	Irún	Clay	Horacio Zeballos	7–5, 2–6, 6–3
26 November 2006	Maspalomas	Clay	Gero Kretschmer	6–4, 6–3
28 October 2007	Sant Cugat	Clay	Javier Genaro-Martínez	6–3, 4–6, 7–5
4 November 2007	Vilafranca	Clay	Adrián Menéndez-Maceiras	6–4, 6–4
1 November 2009	Sant Cugat	Clay	Jose Checa-Calvo	2-6, 6–4, 6–2
25 July 2010	Gandia	Clay	Juan Lizariturry	7-6, 3–6, 6–2
8 August 2010	Xàtiva	Clay	Juan Lizariturry	6–3, 6–2
15 May 2011	Kenitra	Clay	Tak Khunn Wang	6–4, 7–5
