Name	Date of Birth	Height	Weight	Spike	Block
Lloy Ball	17.02.1972	203	95	351	316
Erik Sullivan	09.08.1972	193	86	340	320
Phillip Eatherton	02.01.1974	206	101	356	335
Donald Suxho	21.02.1976	196	98	337	319
William Priddy	01.10.1977	196	89	353	330
Ryan Millar	22.01.1978	204	98	354	326
Riley Salmon	02.07.1976	197	89	345	331
Brook Billings	30.04.1980	196	95	351	331
Thomas Hoff	09.06.1973	198	94	353	333
Clayton Stanley	20.01.1978	205	104	357	332
Kevin Barnett	14.05.1974	198	94	353	340
Gabriel Gardner	18.03.1976	209	103	353	335
